index,ALIGN_SPLIT,OPTIMIZE_SPLIT,OPTIMIZE_REPS,CUDA_THREADS,N_RESTART,CLIPPING,SIM_THRESH,BUFFER_SIZE,target,feasible
369112,48.0,8.0,1.0,96.0,256.0,256.0,3.0,20.0,-1911.59547894001,False
355451,32.0,48.0,2.0,128.0,256.0,50.0,2.0,50.0,-2657.20835182312,False
59367,8.0,72.0,4.0,192.0,256.0,30.0,3.0,10.0,-6090.82672011349,False
95692,12.0,24.0,3.0,96.0,256.0,256.0,1.0,20.0,-1695.95800355721,True
354319,32.0,48.0,1.0,192.0,256.0,256.0,2.0,2.0,-1948.17370641142,False
348915,32.0,32.0,3.0,64.0,256.0,50.0,1.0,10.0,-2766.92259306191,False
17141,8.0,16.0,2.0,64.0,256.0,50.0,1.0,50.0,-1211.16470169016,False
384821,48.0,16.0,1.0,160.0,256.0,50.0,1.0,50.0,-2164.24503965511,False
46348,8.0,48.0,1.0,64.0,256.0,256.0,1.0,20.0,-2424.15612508841,False
294989,24.0,48.0,3.0,32.0,256.0,256.0,1.0,50.0,-2821.8703803736,True
123515,16.0,8.0,1.0,128.0,256.0,50.0,2.0,50.0,-2016.11825362288,False
92608,12.0,24.0,1.0,96.0,256.0,50.0,3.0,20.0,-1014.46890565501,False
400385,48.0,24.0,1.0,192.0,256.0,50.0,3.0,50.0,-2330.21664130002,False
107914,12.0,48.0,1.0,96.0,256.0,10.0,2.0,20.0,-1791.25310920421,False
95680,12.0,24.0,3.0,96.0,256.0,50.0,3.0,20.0,-1713.79171162534,True
18712,8.0,16.0,3.0,64.0,256.0,256.0,3.0,20.0,-1692.21572309299,True
26546,8.0,20.0,3.0,96.0,256.0,50.0,1.0,5.0,-1840.79383513061,False
395981,48.0,20.0,3.0,224.0,256.0,256.0,1.0,50.0,-3585.26322613668,False
284602,24.0,32.0,1.0,96.0,256.0,50.0,2.0,20.0,-1448.29896006153,False
46541,8.0,48.0,1.0,96.0,256.0,256.0,1.0,50.0,-2123.80932115767,False
414977,48.0,48.0,1.0,64.0,256.0,50.0,3.0,50.0,-2900.16028302305,False
386187,48.0,16.0,2.0,128.0,256.0,256.0,1.0,10.0,-2856.67999509751,False
246802,24.0,8.0,1.0,192.0,256.0,256.0,2.0,20.0,-2202.85557403553,False
118528,12.0,72.0,3.0,64.0,256.0,50.0,3.0,20.0,-4229.94980561471,False
401176,48.0,24.0,2.0,64.0,256.0,256.0,3.0,20.0,-3177.28893745146,False
48649,8.0,48.0,2.0,192.0,256.0,256.0,1.0,2.0,-1982.15839850101,True
109517,12.0,48.0,2.0,96.0,256.0,256.0,1.0,50.0,-1730.52945443549,True
109504,12.0,48.0,2.0,96.0,256.0,50.0,3.0,20.0,-1983.81521595575,False
47857,8.0,48.0,2.0,64.0,256.0,50.0,1.0,2.0,-1640.16388783613,False
123317,16.0,8.0,1.0,96.0,256.0,50.0,1.0,50.0,-2014.90776815268,False
93961,12.0,24.0,2.0,64.0,256.0,256.0,1.0,2.0,-1991.97350426382,True
92245,12.0,24.0,1.0,32.0,256.0,256.0,3.0,2.0,-1817.96438203588,False
94921,12.0,24.0,2.0,224.0,256.0,256.0,1.0,2.0,-1451.78714826192,True
78769,12.0,16.0,2.0,96.0,256.0,50.0,1.0,2.0,-1772.47191787495,False
34205,8.0,24.0,3.0,96.0,256.0,30.0,1.0,50.0,-2460.50813532363,False
87244,12.0,20.0,2.0,224.0,256.0,256.0,1.0,20.0,-2253.87791224077,True
92209,12.0,24.0,1.0,32.0,256.0,50.0,1.0,2.0,-1449.4021276068,False
102219,12.0,32.0,2.0,160.0,256.0,256.0,1.0,10.0,-2365.18153262966,True
278458,24.0,24.0,2.0,96.0,256.0,50.0,2.0,20.0,-1878.00918759713,False
292957,24.0,48.0,1.0,192.0,1024.0,50.0,3.0,2.0,-4910.17592669008,False
