index,ALIGN_SPLIT,OPTIMIZE_SPLIT,OPTIMIZE_REPS,CUDA_THREADS,N_RESTART,CLIPPING,SIM_THRESH,BUFFER_SIZE,target,feasible
308339,32.0,8.0,1.0,192.0,1024.0,256.0,2.0,50.0,-6164.0979429653,False
116404,12.0,72.0,1.0,224.0,256.0,50.0,1.0,20.0,-1807.61759761887,False
361599,32.0,72.0,1.0,128.0,256.0,50.0,3.0,10.0,-2349.65109626908,False
248908,24.0,8.0,3.0,32.0,256.0,256.0,1.0,20.0,-2066.29746187854,False
404801,48.0,24.0,4.0,160.0,256.0,50.0,3.0,50.0,-4755.95346748766,False
418048,48.0,48.0,3.0,64.0,256.0,50.0,3.0,20.0,-3251.06703324606,False
407891,48.0,32.0,1.0,160.0,256.0,256.0,2.0,50.0,-2480.22610007238,False
125428,16.0,8.0,2.0,192.0,256.0,50.0,1.0,20.0,-1682.60469676897,False
361210,32.0,72.0,1.0,64.0,256.0,50.0,2.0,20.0,-2341.37863813682,False
469528,72.0,32.0,1.0,192.0,256.0,256.0,3.0,20.0,-2452.20806480052,True
287860,24.0,32.0,3.0,128.0,256.0,50.0,1.0,20.0,-2541.08699991067,False
369676,48.0,8.0,1.0,192.0,256.0,256.0,1.0,20.0,-2285.38600720929,False
178804,16.0,72.0,2.0,128.0,256.0,50.0,1.0,20.0,-2508.95471990607,True
117364,12.0,72.0,2.0,128.0,256.0,50.0,1.0,20.0,-2784.1988281216,False
245812,24.0,8.0,1.0,32.0,256.0,50.0,1.0,20.0,-1396.74577642072,False
346324,32.0,32.0,1.0,128.0,1024.0,50.0,1.0,20.0,-4106.97381495163,False
246964,24.0,8.0,1.0,224.0,256.0,50.0,1.0,20.0,-1539.48023227473,False
300753,24.0,72.0,1.0,224.0,256.0,256.0,2.0,10.0,-2695.84795136273,False
177089,16.0,72.0,1.0,96.0,256.0,50.0,3.0,50.0,-1529.29855160785,False
368704,48.0,8.0,1.0,32.0,256.0,50.0,3.0,20.0,-1288.08330870309,False
185500,20.0,8.0,1.0,224.0,256.0,30.0,1.0,20.0,-2361.09206890019,False
124888,16.0,8.0,2.0,96.0,256.0,256.0,3.0,20.0,-2288.38323614274,False
176896,16.0,72.0,1.0,64.0,256.0,50.0,3.0,20.0,-1783.22317053256,False
400180,48.0,24.0,1.0,160.0,256.0,50.0,1.0,20.0,-3035.74021156993,False
178816,16.0,72.0,2.0,128.0,256.0,50.0,3.0,20.0,-2704.41011314885,True
179777,16.0,72.0,3.0,32.0,256.0,50.0,3.0,50.0,-4028.37456861342,False
180484,16.0,72.0,3.0,160.0,256.0,10.0,1.0,20.0,-5966.10395312068,False
179033,16.0,72.0,2.0,160.0,256.0,256.0,3.0,50.0,-3124.41102726758,True
179188,16.0,72.0,2.0,192.0,256.0,50.0,1.0,20.0,-3293.45092134637,False
317260,32.0,12.0,2.0,160.0,256.0,256.0,1.0,20.0,-1414.82945745164,True
255244,24.0,12.0,2.0,64.0,256.0,256.0,1.0,20.0,-2118.58150794289,False
316468,32.0,12.0,2.0,32.0,256.0,50.0,1.0,20.0,-2051.03362281381,False
430924,72.0,8.0,1.0,160.0,256.0,256.0,1.0,20.0,-2542.7451336216,False
134861,16.0,12.0,3.0,224.0,256.0,256.0,1.0,50.0,-1830.79135815013,True
