index,ALIGN_SPLIT,OPTIMIZE_SPLIT,OPTIMIZE_REPS,CUDA_THREADS,N_RESTART,CLIPPING,SIM_THRESH,BUFFER_SIZE,target,feasible
423,8.0,8.0,1.0,96.0,256.0,30.0,3.0,10.0,-1146.11549578058,False
358732,32.0,48.0,4.0,160.0,256.0,256.0,1.0,20.0,-3717.80125273047,True
47075,8.0,48.0,1.0,192.0,256.0,30.0,2.0,50.0,-1515.11066931061,False
370348,48.0,8.0,2.0,32.0,1024.0,256.0,1.0,20.0,-6492.27687849247,True
409420,48.0,32.0,2.0,160.0,256.0,256.0,1.0,20.0,-2011.92712054009,True
36171,8.0,24.0,4.0,160.0,256.0,256.0,1.0,10.0,-2000.96104037683,True
472565,72.0,32.0,3.0,192.0,256.0,50.0,1.0,50.0,-4713.68785810219,False
192281,20.0,12.0,1.0,64.0,256.0,256.0,3.0,50.0,-1440.85614354585,False
356128,32.0,48.0,2.0,224.0,1024.0,50.0,3.0,20.0,-11003.6195717148,False
150868,16.0,20.0,4.0,64.0,1024.0,50.0,1.0,20.0,-10626.0057152195,False
410195,48.0,32.0,3.0,32.0,256.0,256.0,2.0,50.0,-3007.42194145594,True
27,8.0,8.0,1.0,32.0,256.0,30.0,1.0,10.0,-1683.52093842409,False
12737,8.0,12.0,4.0,96.0,256.0,50.0,3.0,50.0,-2040.51483344118,False
30903,8.0,24.0,1.0,32.0,1024.0,256.0,3.0,10.0,-3481.98124492752,True
407126,48.0,32.0,1.0,32.0,256.0,256.0,3.0,5.0,-2599.36506760702,False
31263,8.0,24.0,1.0,96.0,1024.0,50.0,3.0,10.0,-4341.53269396878,False
230789,20.0,48.0,1.0,96.0,256.0,10.0,1.0,50.0,-1980.8155976818,False
34935,8.0,24.0,3.0,192.0,1024.0,256.0,3.0,10.0,-4888.1887669597,True
43961,8.0,32.0,4.0,160.0,1024.0,256.0,3.0,50.0,-7581.20213998228,True
12568,8.0,12.0,4.0,64.0,256.0,256.0,3.0,20.0,-1863.24151117664,True
355625,32.0,48.0,2.0,160.0,256.0,30.0,3.0,50.0,-2209.73063569721,False
32723,8.0,24.0,2.0,96.0,256.0,256.0,2.0,50.0,-2681.72676176159,False
