index,ALIGN_SPLIT,OPTIMIZE_SPLIT,OPTIMIZE_REPS,CUDA_THREADS,N_RESTART,CLIPPING,SIM_THRESH,BUFFER_SIZE,target,feasible
411221,48.0,32.0,3.0,192.0,1024.0,50.0,1.0,50.0,-10855.9193065124,False
469114,72.0,32.0,1.0,128.0,256.0,50.0,2.0,20.0,-3717.89085410011,False
335362,32.0,20.0,4.0,96.0,1024.0,30.0,2.0,20.0,-9333.62611882349,False
416308,48.0,48.0,2.0,32.0,256.0,50.0,1.0,20.0,-2583.96932604493,False
286552,24.0,32.0,2.0,160.0,256.0,256.0,3.0,20.0,-1524.17234472671,True
103948,12.0,32.0,3.0,192.0,256.0,256.0,1.0,20.0,-2487.0329255335,True
31936,8.0,24.0,1.0,224.0,256.0,50.0,3.0,20.0,-1676.52416965469,False
184373,20.0,8.0,1.0,32.0,256.0,50.0,1.0,50.0,-1405.14605984219,False
47620,8.0,48.0,2.0,32.0,256.0,10.0,1.0,20.0,-2321.72632007923,False
231008,20.0,48.0,1.0,128.0,256.0,30.0,2.0,5.0,-1158.3218646261,False
418426,48.0,48.0,3.0,128.0,256.0,50.0,2.0,20.0,-3198.00107846466,False
231352,20.0,48.0,1.0,160.0,1024.0,256.0,3.0,20.0,-4636.54525152549,True
185560,20.0,8.0,1.0,224.0,256.0,256.0,3.0,20.0,-2006.63367036702,False
353363,32.0,48.0,1.0,32.0,256.0,256.0,2.0,50.0,-2573.11828462433,False
224894,20.0,32.0,2.0,128.0,256.0,50.0,3.0,5.0,-2551.61347400801,False
407847,48.0,32.0,1.0,160.0,256.0,30.0,3.0,10.0,-1975.69904096947,False
484672,72.0,72.0,1.0,160.0,256.0,50.0,3.0,20.0,-3151.99226397944,False
48418,8.0,48.0,2.0,160.0,256.0,30.0,2.0,20.0,-1601.41239218801,False
415760,48.0,48.0,1.0,192.0,256.0,256.0,2.0,5.0,-2266.78389026639,True
403288,48.0,24.0,3.0,160.0,256.0,256.0,3.0,20.0,-3328.03415668873,False
109714,12.0,48.0,2.0,128.0,256.0,256.0,2.0,20.0,-2758.84932284519,False
224920,20.0,32.0,2.0,128.0,256.0,256.0,3.0,20.0,-2452.83725563531,True
300796,24.0,72.0,1.0,224.0,1024.0,30.0,1.0,20.0,-6738.30526460705,False
414989,48.0,48.0,1.0,64.0,256.0,256.0,1.0,50.0,-2347.51875450763,True
308429,32.0,8.0,1.0,224.0,256.0,256.0,1.0,50.0,-2474.15402876766,False
