index,ALIGN_SPLIT,OPTIMIZE_SPLIT,OPTIMIZE_REPS,CUDA_THREADS,N_RESTART,CLIPPING,SIM_THRESH,BUFFER_SIZE,target,feasible
371410,48.0,8.0,2.0,224.0,256.0,256.0,2.0,20.0,-2455.44130128501,False
7948,8.0,12.0,1.0,64.0,256.0,256.0,1.0,20.0,-1774.47781151579,True
374260,48.0,8.0,4.0,192.0,256.0,50.0,1.0,20.0,-4154.19370894084,False
169732,16.0,48.0,1.0,160.0,256.0,10.0,1.0,20.0,-2787.43028455869,False
233680,20.0,48.0,3.0,64.0,256.0,10.0,3.0,20.0,-4532.74708364401,False
423244,48.0,72.0,1.0,160.0,256.0,256.0,1.0,20.0,-3045.84583782023,False
312562,32.0,8.0,4.0,128.0,1024.0,256.0,2.0,20.0,-8527.11587606266,False
162865,16.0,32.0,2.0,32.0,256.0,50.0,1.0,2.0,-1714.80603285545,True
291923,24.0,48.0,1.0,32.0,256.0,256.0,2.0,50.0,-2407.43144667337,False
302009,24.0,72.0,2.0,160.0,1024.0,256.0,3.0,50.0,-9627.70868302877,True
420531,48.0,48.0,4.0,224.0,256.0,50.0,1.0,10.0,-4548.24008993852,False
10156,8.0,12.0,2.0,160.0,1024.0,256.0,1.0,20.0,-4368.42618504012,True
161353,16.0,32.0,1.0,32.0,256.0,256.0,1.0,2.0,-1815.66894249074,False
10156,8.0,12.0,2.0,160.0,1024.0,256.0,1.0,20.0,-4368.42618504012,True
7732,8.0,12.0,1.0,32.0,256.0,50.0,1.0,20.0,-625.23226024064,True
368692,48.0,8.0,1.0,32.0,256.0,50.0,1.0,20.0,-1706.33475350088,False
353332,32.0,48.0,1.0,32.0,256.0,50.0,1.0,20.0,-1736.38532673834,False
376324,48.0,12.0,1.0,32.0,256.0,10.0,1.0,20.0,-2296.61958058269,False
8512,8.0,12.0,1.0,160.0,256.0,50.0,3.0,20.0,-1040.53299562004,False
253696,24.0,12.0,1.0,64.0,256.0,50.0,3.0,20.0,-1782.14528022516,False
53818,8.0,72.0,1.0,32.0,256.0,50.0,2.0,20.0,-1452.94397961612,False
8881,8.0,12.0,1.0,224.0,256.0,50.0,1.0,2.0,-1594.79774976698,False
179029,16.0,72.0,2.0,160.0,256.0,256.0,3.0,2.0,-2896.70740969044,True
38476,8.0,32.0,1.0,32.0,256.0,256.0,1.0,20.0,-1396.89245972121,True
424211,48.0,72.0,2.0,64.0,256.0,256.0,2.0,50.0,-2803.14243497767,True
38440,8.0,32.0,1.0,32.0,256.0,30.0,3.0,20.0,-1453.2586992371,False
30772,8.0,24.0,1.0,32.0,256.0,50.0,1.0,20.0,-1338.95009049456,False
38476,8.0,32.0,1.0,32.0,256.0,256.0,1.0,20.0,-1396.89245972121,True
7762,8.0,12.0,1.0,32.0,256.0,256.0,2.0,20.0,-1662.95178709704,False
38452,8.0,32.0,1.0,32.0,256.0,50.0,1.0,20.0,-1393.25410382713,False
7756,8.0,12.0,1.0,32.0,256.0,256.0,1.0,20.0,-1455.42641370214,True
52,8.0,8.0,1.0,32.0,256.0,50.0,1.0,20.0,-1236.28725096809,False
10816,8.0,12.0,3.0,32.0,256.0,50.0,3.0,20.0,-2498.85622369881,False
130642,16.0,12.0,1.0,32.0,256.0,256.0,2.0,20.0,-2142.77874056948,False
476248,72.0,48.0,1.0,32.0,256.0,256.0,3.0,20.0,-3203.05446688341,True
46708,8.0,48.0,1.0,128.0,256.0,50.0,1.0,20.0,-1715.38971364257,False
8338,8.0,12.0,1.0,128.0,256.0,256.0,2.0,20.0,-1739.48324135682,False
193594,20.0,12.0,2.0,32.0,256.0,50.0,2.0,20.0,-1301.70615883239,False
9268,8.0,12.0,2.0,32.0,256.0,50.0,1.0,20.0,-1463.33539786741,False
161332,16.0,32.0,1.0,32.0,256.0,50.0,1.0,20.0,-2071.99766074004,False
7738,8.0,12.0,1.0,32.0,256.0,50.0,2.0,20.0,-1592.72312813961,False
9268,8.0,12.0,2.0,32.0,256.0,50.0,1.0,20.0,-1463.33539786741,False
54196,8.0,72.0,1.0,96.0,256.0,50.0,1.0,20.0,-1465.74390936664,False
38476,8.0,32.0,1.0,32.0,256.0,256.0,1.0,20.0,-1396.89245972121,True
222928,20.0,32.0,1.0,64.0,256.0,10.0,3.0,20.0,-2805.00035864042,False
378712,48.0,12.0,2.0,160.0,256.0,256.0,3.0,20.0,-2452.41949041942,True
46144,8.0,48.0,1.0,32.0,256.0,50.0,3.0,20.0,-1702.75007175791,False
54772,8.0,72.0,1.0,192.0,256.0,50.0,1.0,20.0,-2096.46645585113,False
38452,8.0,32.0,1.0,32.0,256.0,50.0,1.0,20.0,-1393.25410382713,False
38476,8.0,32.0,1.0,32.0,256.0,256.0,1.0,20.0,-1396.89245972121,True
314933,32.0,12.0,1.0,32.0,256.0,50.0,1.0,50.0,-1027.39503150178,False
69173,12.0,12.0,1.0,32.0,256.0,50.0,1.0,50.0,-1195.30979605257,False
7737,8.0,12.0,1.0,32.0,256.0,50.0,2.0,10.0,-1620.83386799738,False
46130,8.0,48.0,1.0,32.0,256.0,50.0,1.0,5.0,-1166.38176301288,False
46131,8.0,48.0,1.0,32.0,256.0,50.0,1.0,10.0,-1755.61991505971,False
30872,8.0,24.0,1.0,32.0,1024.0,50.0,2.0,5.0,-3784.38536574308,False
368698,48.0,8.0,1.0,32.0,256.0,50.0,2.0,20.0,-3515.27868561348,False
192053,20.0,12.0,1.0,32.0,256.0,50.0,1.0,50.0,-1693.73381712204,False
38453,8.0,32.0,1.0,32.0,256.0,50.0,1.0,50.0,-1476.38932818995,False
8020,8.0,12.0,1.0,64.0,1024.0,50.0,1.0,20.0,-3242.83185356719,False
7728,8.0,12.0,1.0,32.0,256.0,50.0,1.0,1.0,-703.633932431097,False
314930,32.0,12.0,1.0,32.0,256.0,50.0,1.0,5.0,-1627.28304268439,False
130708,16.0,12.0,1.0,32.0,1024.0,50.0,1.0,20.0,-2862.25558401924,False
7756,8.0,12.0,1.0,32.0,256.0,256.0,1.0,20.0,-1455.42641370214,True
337996,32.0,24.0,1.0,32.0,256.0,256.0,1.0,20.0,-2132.07010313305,True
10133,8.0,12.0,2.0,160.0,1024.0,50.0,1.0,50.0,-3568.3507542946,False
7841,8.0,12.0,1.0,32.0,1024.0,50.0,3.0,50.0,-3759.57802520939,False
361780,32.0,72.0,1.0,160.0,256.0,50.0,1.0,20.0,-2836.86881674055,False
46157,8.0,48.0,1.0,32.0,256.0,256.0,1.0,50.0,-1763.64659888741,True
291888,24.0,48.0,1.0,32.0,256.0,50.0,1.0,1.0,-1711.64671953759,False
38448,8.0,32.0,1.0,32.0,256.0,50.0,1.0,1.0,-972.816566230755,False
