index,ALIGN_SPLIT,OPTIMIZE_SPLIT,OPTIMIZE_REPS,CUDA_THREADS,N_RESTART,CLIPPING,SIM_THRESH,BUFFER_SIZE,target,feasible
394250,48.0,20.0,2.0,192.0,256.0,256.0,1.0,5.0,-3092.26938459638,False
414770,48.0,48.0,1.0,32.0,256.0,50.0,1.0,5.0,-2250.02863545117,False
414796,48.0,48.0,1.0,32.0,256.0,256.0,1.0,20.0,-2362.84081067759,True
57604,8.0,72.0,3.0,160.0,256.0,10.0,1.0,20.0,-5358.14788733639,False
354319,32.0,48.0,1.0,192.0,256.0,256.0,2.0,2.0,-1948.17370641142,False
370252,48.0,8.0,2.0,32.0,256.0,256.0,1.0,20.0,-1789.46182028585,True
368728,48.0,8.0,1.0,32.0,256.0,256.0,3.0,20.0,-2382.41391572002,False
405004,48.0,24.0,4.0,192.0,256.0,256.0,1.0,20.0,-3118.60540183769,True
169720,16.0,48.0,1.0,128.0,1024.0,256.0,3.0,20.0,-4769.15115719448,False
301300,24.0,72.0,2.0,64.0,256.0,50.0,1.0,20.0,-2734.48078524246,False
199858,20.0,16.0,1.0,32.0,1024.0,256.0,2.0,20.0,-3543.36952022918,False
374290,48.0,8.0,4.0,192.0,256.0,256.0,2.0,20.0,-3464.68723636934,True
345676,32.0,32.0,1.0,32.0,256.0,256.0,1.0,20.0,-1628.69110934562,True
399436,48.0,24.0,1.0,32.0,256.0,256.0,1.0,20.0,-2127.59072866804,True
347194,32.0,32.0,2.0,32.0,256.0,50.0,2.0,20.0,-1636.29273489849,False
353362,32.0,48.0,1.0,32.0,256.0,256.0,2.0,20.0,-2091.22951989516,True
353356,32.0,48.0,1.0,32.0,256.0,256.0,1.0,20.0,-1773.63268108769,True
353356,32.0,48.0,1.0,32.0,256.0,256.0,1.0,20.0,-1773.63268108769,True
353434,32.0,48.0,1.0,32.0,1024.0,50.0,2.0,20.0,-5733.51308326366,False
345658,32.0,32.0,1.0,32.0,256.0,50.0,2.0,20.0,-1329.69307580116,False
345658,32.0,32.0,1.0,32.0,256.0,50.0,2.0,20.0,-1329.69307580116,False
338002,32.0,24.0,1.0,32.0,256.0,256.0,2.0,20.0,-1680.83396746897,True
414802,48.0,48.0,1.0,32.0,256.0,256.0,2.0,20.0,-2328.49642515656,True
307282,32.0,8.0,1.0,32.0,256.0,256.0,2.0,20.0,-1202.45193971811,True
308050,32.0,8.0,1.0,160.0,256.0,256.0,2.0,20.0,-2713.49770409279,False
314955,32.0,12.0,1.0,32.0,256.0,256.0,1.0,10.0,-2141.48392017163,False
291898,24.0,48.0,1.0,32.0,256.0,50.0,2.0,20.0,-1723.92211918643,False
53818,8.0,72.0,1.0,32.0,256.0,50.0,2.0,20.0,-1452.94397961612,False
353361,32.0,48.0,1.0,32.0,256.0,256.0,2.0,10.0,-2316.68119772924,False
307282,32.0,8.0,1.0,32.0,256.0,256.0,2.0,20.0,-1202.45193971811,True
430162,72.0,8.0,1.0,32.0,256.0,256.0,2.0,20.0,-3879.39862452775,False
307259,32.0,8.0,1.0,32.0,256.0,50.0,2.0,50.0,-1700.87067742199,False
307258,32.0,8.0,1.0,32.0,256.0,50.0,2.0,20.0,-1574.47553757303,False
353338,32.0,48.0,1.0,32.0,256.0,50.0,2.0,20.0,-1913.62685521797,False
331828,32.0,20.0,2.0,32.0,256.0,50.0,1.0,20.0,-1677.39667389087,False
362002,32.0,72.0,1.0,192.0,256.0,256.0,2.0,20.0,-2377.51780538272,True
230479,20.0,48.0,1.0,32.0,256.0,256.0,2.0,2.0,-2683.52896015418,False
308794,32.0,8.0,2.0,32.0,256.0,50.0,2.0,20.0,-2298.2248377399,False
322642,32.0,16.0,1.0,32.0,256.0,256.0,2.0,20.0,-1629.83102507517,True
407097,48.0,32.0,1.0,32.0,256.0,50.0,2.0,10.0,-1726.38460615638,False
414802,48.0,48.0,1.0,32.0,256.0,256.0,2.0,20.0,-2328.49642515656,True
345658,32.0,32.0,1.0,32.0,256.0,50.0,2.0,20.0,-1329.69307580116,False
307282,32.0,8.0,1.0,32.0,256.0,256.0,2.0,20.0,-1202.45193971811,True
368721,48.0,8.0,1.0,32.0,256.0,256.0,2.0,10.0,-2094.95156525575,False
308791,32.0,8.0,2.0,32.0,256.0,50.0,2.0,2.0,-1517.90439162704,False
307259,32.0,8.0,1.0,32.0,256.0,50.0,2.0,50.0,-1700.87067742199,False
430161,72.0,8.0,1.0,32.0,256.0,256.0,2.0,10.0,-3576.96116336926,False
322643,32.0,16.0,1.0,32.0,256.0,256.0,2.0,50.0,-1431.07992262844,True
307351,32.0,8.0,1.0,32.0,1024.0,50.0,2.0,2.0,-5120.78333191459,False
307376,32.0,8.0,1.0,32.0,1024.0,256.0,2.0,5.0,-7656.01498134604,False
307283,32.0,8.0,1.0,32.0,256.0,256.0,2.0,50.0,-1761.69334339367,False
307282,32.0,8.0,1.0,32.0,256.0,256.0,2.0,20.0,-1202.45193971811,True
307282,32.0,8.0,1.0,32.0,256.0,256.0,2.0,20.0,-1202.45193971811,True
307258,32.0,8.0,1.0,32.0,256.0,50.0,2.0,20.0,-1574.47553757303,False
307282,32.0,8.0,1.0,32.0,256.0,256.0,2.0,20.0,-1202.45193971811,True
307210,32.0,8.0,1.0,32.0,256.0,10.0,2.0,20.0,-2776.20122253973,False
307282,32.0,8.0,1.0,32.0,256.0,256.0,2.0,20.0,-1202.45193971811,True
307258,32.0,8.0,1.0,32.0,256.0,50.0,2.0,20.0,-1574.47553757303,False
307354,32.0,8.0,1.0,32.0,1024.0,50.0,2.0,20.0,-6657.66365599483,False
307354,32.0,8.0,1.0,32.0,1024.0,50.0,2.0,20.0,-6657.66365599483,False
307258,32.0,8.0,1.0,32.0,256.0,50.0,2.0,20.0,-1574.47553757303,False
307278,32.0,8.0,1.0,32.0,256.0,256.0,2.0,1.0,-1605.49035351214,True
307282,32.0,8.0,1.0,32.0,256.0,256.0,2.0,20.0,-1202.45193971811,True
307378,32.0,8.0,1.0,32.0,1024.0,256.0,2.0,20.0,-6017.21390066882,False
253522,24.0,12.0,1.0,32.0,256.0,256.0,2.0,20.0,-2462.82655526754,False
307210,32.0,8.0,1.0,32.0,256.0,10.0,2.0,20.0,-2776.20122253973,False
307276,32.0,8.0,1.0,32.0,256.0,256.0,1.0,20.0,-1500.32217362566,True
353362,32.0,48.0,1.0,32.0,256.0,256.0,2.0,20.0,-2091.22951989516,True
307283,32.0,8.0,1.0,32.0,256.0,256.0,2.0,50.0,-1761.69334339367,False
353362,32.0,48.0,1.0,32.0,256.0,256.0,2.0,20.0,-2091.22951989516,True
83,8.0,8.0,1.0,32.0,256.0,256.0,2.0,50.0,-1324.32979730383,True
