Starting label pr__ei, seed 308621505, iteration 0, time: 8.440017700195312e-05, current best obj: -inf.
Starting label pr__ei, seed 308621505, iteration 1, time: 32.26364731788635, current best obj: -inf.
Starting label pr__ei, seed 308621505, iteration 2, time: 65.25359511375427, current best obj: -inf.
Starting label pr__ei, seed 308621505, iteration 3, time: 98.23406481742859, current best obj: -inf.
Starting label pr__ei, seed 308621505, iteration 4, time: 136.83642101287842, current best obj: -inf.
Starting label pr__ei, seed 308621505, iteration 5, time: 175.1829435825348, current best obj: -4518982.0.
Starting label pr__ei, seed 308621505, iteration 6, time: 214.0793969631195, current best obj: -4209370.0.
Starting label pr__ei, seed 308621505, iteration 7, time: 253.71801352500916, current best obj: -4209370.0.
Starting label pr__ei, seed 308621505, iteration 8, time: 292.09050846099854, current best obj: -4209370.0.
Starting label pr__ei, seed 308621505, iteration 9, time: 329.84938168525696, current best obj: -4209370.0.
Starting label pr__ei, seed 308621505, iteration 10, time: 370.25401735305786, current best obj: -4209370.0.
Starting label pr__ei, seed 308621505, iteration 11, time: 410.91740465164185, current best obj: -4209370.0.
Starting label pr__ei, seed 308621505, iteration 12, time: 451.58060598373413, current best obj: -4209370.0.
Starting label pr__ei, seed 308621505, iteration 13, time: 490.7755334377289, current best obj: -4209370.0.
Starting label pr__ei, seed 308621505, iteration 14, time: 527.9319252967834, current best obj: -4209370.0.
Starting label pr__ei, seed 308621505, iteration 15, time: 565.0525102615356, current best obj: -4209370.0.
Starting label pr__ei, seed 308621505, iteration 16, time: 602.1382393836975, current best obj: -4209370.0.
Starting label pr__ei, seed 308621505, iteration 17, time: 639.2936091423035, current best obj: -4209370.0.
Starting label pr__ei, seed 308621505, iteration 18, time: 677.3031320571899, current best obj: -4209370.0.
Starting label pr__ei, seed 308621505, iteration 19, time: 714.7528576850891, current best obj: -4209370.0.
Starting label pr__ei, seed 308621505, iteration 20, time: 752.0065686702728, current best obj: -4209370.0.
Starting label pr__ei, seed 308621505, iteration 21, time: 789.3812124729156, current best obj: -4209370.0.
Starting label pr__ei, seed 308621505, iteration 22, time: 826.7429895401001, current best obj: -4209370.0.
Starting label pr__ei, seed 308621505, iteration 23, time: 871.355268239975, current best obj: -4139234.0.
Starting label pr__ei, seed 308621505, iteration 24, time: 916.1318998336792, current best obj: -4139234.0.
Starting label pr__ei, seed 308621505, iteration 25, time: 960.964437007904, current best obj: -4139234.0.
Starting label pr__ei, seed 308621505, iteration 26, time: 1005.8730442523956, current best obj: -4139234.0.
Starting label pr__ei, seed 308621505, iteration 27, time: 1050.9251973628998, current best obj: -4139234.0.
Starting label pr__ei, seed 308621505, iteration 28, time: 1096.6876754760742, current best obj: -4139234.0.
Starting label pr__ei, seed 308621505, iteration 29, time: 1142.6485950946808, current best obj: -4139234.0.
