Starting label pr__ei, seed 606958823, iteration 0, time: 8.177757263183594e-05, current best obj: -inf.
Starting label pr__ei, seed 606958823, iteration 1, time: 32.68476915359497, current best obj: -4466544.0.
Starting label pr__ei, seed 606958823, iteration 2, time: 65.00649046897888, current best obj: -4465084.0.
Starting label pr__ei, seed 606958823, iteration 3, time: 97.23555088043213, current best obj: -4465084.0.
Starting label pr__ei, seed 606958823, iteration 4, time: 135.0564160346985, current best obj: -4465084.0.
Starting label pr__ei, seed 606958823, iteration 5, time: 173.53977608680725, current best obj: -4465084.0.
Starting label pr__ei, seed 606958823, iteration 6, time: 211.7672770023346, current best obj: -4465084.0.
Starting label pr__ei, seed 606958823, iteration 7, time: 250.62984561920166, current best obj: -4465084.0.
Starting label pr__ei, seed 606958823, iteration 8, time: 289.68287324905396, current best obj: -4465084.0.
Starting label pr__ei, seed 606958823, iteration 9, time: 328.5913472175598, current best obj: -4465084.0.
Starting label pr__ei, seed 606958823, iteration 10, time: 367.64911222457886, current best obj: -4397250.0.
Starting label pr__ei, seed 606958823, iteration 11, time: 405.93452763557434, current best obj: -4397250.0.
Starting label pr__ei, seed 606958823, iteration 12, time: 445.4448676109314, current best obj: -4397250.0.
Starting label pr__ei, seed 606958823, iteration 13, time: 483.9674108028412, current best obj: -4397250.0.
Starting label pr__ei, seed 606958823, iteration 14, time: 521.727511882782, current best obj: -4397250.0.
Starting label pr__ei, seed 606958823, iteration 15, time: 559.9049146175385, current best obj: -4397250.0.
Starting label pr__ei, seed 606958823, iteration 16, time: 598.2928721904755, current best obj: -4397250.0.
Starting label pr__ei, seed 606958823, iteration 17, time: 637.4180998802185, current best obj: -4397250.0.
Starting label pr__ei, seed 606958823, iteration 18, time: 675.4053699970245, current best obj: -4397250.0.
Starting label pr__ei, seed 606958823, iteration 19, time: 713.8110754489899, current best obj: -4397250.0.
Starting label pr__ei, seed 606958823, iteration 20, time: 753.8389096260071, current best obj: -4397250.0.
Starting label pr__ei, seed 606958823, iteration 21, time: 792.5434126853943, current best obj: -4397250.0.
Starting label pr__ei, seed 606958823, iteration 22, time: 831.3219704627991, current best obj: -4397250.0.
Starting label pr__ei, seed 606958823, iteration 23, time: 877.2362203598022, current best obj: -4397250.0.
Starting label pr__ei, seed 606958823, iteration 24, time: 924.4671273231506, current best obj: -4397250.0.
Starting label pr__ei, seed 606958823, iteration 25, time: 971.7096502780914, current best obj: -4397250.0.
Starting label pr__ei, seed 606958823, iteration 26, time: 1017.8662872314453, current best obj: -4397250.0.
Starting label pr__ei, seed 606958823, iteration 27, time: 1065.426917552948, current best obj: -4397250.0.
Starting label pr__ei, seed 606958823, iteration 28, time: 1113.8729288578033, current best obj: -4397250.0.
Starting label pr__ei, seed 606958823, iteration 29, time: 1161.1476747989655, current best obj: -4397250.0.
