Starting label pr__ei, seed 491637291, iteration 0, time: 0.00012564659118652344, current best obj: -4207984.0.
Starting label pr__ei, seed 491637291, iteration 1, time: 30.777762174606323, current best obj: -4207984.0.
Starting label pr__ei, seed 491637291, iteration 2, time: 60.69624710083008, current best obj: -4207984.0.
Starting label pr__ei, seed 491637291, iteration 3, time: 91.02547717094421, current best obj: -4207984.0.
Starting label pr__ei, seed 491637291, iteration 4, time: 127.44701337814331, current best obj: -4207984.0.
Starting label pr__ei, seed 491637291, iteration 5, time: 163.9543173313141, current best obj: -4207984.0.
Starting label pr__ei, seed 491637291, iteration 6, time: 200.90187907218933, current best obj: -4207984.0.
Starting label pr__ei, seed 491637291, iteration 7, time: 237.83900141716003, current best obj: -4162158.0.
Starting label pr__ei, seed 491637291, iteration 8, time: 274.9939510822296, current best obj: -4162158.0.
Starting label pr__ei, seed 491637291, iteration 9, time: 312.1985864639282, current best obj: -4162158.0.
Starting label pr__ei, seed 491637291, iteration 10, time: 349.4300277233124, current best obj: -4162158.0.
Starting label pr__ei, seed 491637291, iteration 11, time: 386.65821719169617, current best obj: -4162158.0.
Starting label pr__ei, seed 491637291, iteration 12, time: 423.8769896030426, current best obj: -4162158.0.
Starting label pr__ei, seed 491637291, iteration 13, time: 461.2001402378082, current best obj: -4079658.0.
Starting label pr__ei, seed 491637291, iteration 14, time: 498.43339371681213, current best obj: -4079658.0.
Starting label pr__ei, seed 491637291, iteration 15, time: 535.629316329956, current best obj: -4079658.0.
Starting label pr__ei, seed 491637291, iteration 16, time: 574.3837752342224, current best obj: -4079658.0.
Starting label pr__ei, seed 491637291, iteration 17, time: 611.7194497585297, current best obj: -4079658.0.
Starting label pr__ei, seed 491637291, iteration 18, time: 649.0298993587494, current best obj: -4079658.0.
Starting label pr__ei, seed 491637291, iteration 19, time: 686.4354400634766, current best obj: -4079658.0.
Starting label pr__ei, seed 491637291, iteration 20, time: 723.8312911987305, current best obj: -4079658.0.
Starting label pr__ei, seed 491637291, iteration 21, time: 761.3210206031799, current best obj: -4079658.0.
Starting label pr__ei, seed 491637291, iteration 22, time: 798.7825648784637, current best obj: -4079658.0.
Starting label pr__ei, seed 491637291, iteration 23, time: 843.134140253067, current best obj: -4079658.0.
Starting label pr__ei, seed 491637291, iteration 24, time: 887.8814115524292, current best obj: -4079658.0.
Starting label pr__ei, seed 491637291, iteration 25, time: 932.8656003475189, current best obj: -4079658.0.
Starting label pr__ei, seed 491637291, iteration 26, time: 977.9765031337738, current best obj: -4079658.0.
Starting label pr__ei, seed 491637291, iteration 27, time: 1022.9610261917114, current best obj: -4079658.0.
Starting label pr__ei, seed 491637291, iteration 28, time: 1068.7332043647766, current best obj: -4079658.0.
Starting label pr__ei, seed 491637291, iteration 29, time: 1118.7109725475311, current best obj: -4079658.0.
