Starting label pr__ei, seed 137698174, iteration 0, time: 8.130073547363281e-05, current best obj: -inf.
Starting label pr__ei, seed 137698174, iteration 1, time: 30.892536163330078, current best obj: -inf.
Starting label pr__ei, seed 137698174, iteration 2, time: 61.06170177459717, current best obj: -inf.
Starting label pr__ei, seed 137698174, iteration 3, time: 91.30847716331482, current best obj: -inf.
Starting label pr__ei, seed 137698174, iteration 4, time: 128.00549507141113, current best obj: -inf.
Starting label pr__ei, seed 137698174, iteration 5, time: 164.96319031715393, current best obj: -inf.
Starting label pr__ei, seed 137698174, iteration 6, time: 202.06766939163208, current best obj: -inf.
Starting label pr__ei, seed 137698174, iteration 7, time: 239.50114154815674, current best obj: -inf.
Starting label pr__ei, seed 137698174, iteration 8, time: 276.84140515327454, current best obj: -inf.
Starting label pr__ei, seed 137698174, iteration 9, time: 314.2426247596741, current best obj: -inf.
Starting label pr__ei, seed 137698174, iteration 10, time: 351.7118091583252, current best obj: -inf.
Starting label pr__ei, seed 137698174, iteration 11, time: 389.0740315914154, current best obj: -inf.
Starting label pr__ei, seed 137698174, iteration 12, time: 426.77514576911926, current best obj: -inf.
Starting label pr__ei, seed 137698174, iteration 13, time: 464.2423002719879, current best obj: -inf.
Starting label pr__ei, seed 137698174, iteration 14, time: 501.42282247543335, current best obj: -inf.
Starting label pr__ei, seed 137698174, iteration 15, time: 538.7210159301758, current best obj: -inf.
Starting label pr__ei, seed 137698174, iteration 16, time: 576.2655708789825, current best obj: -inf.
Starting label pr__ei, seed 137698174, iteration 17, time: 613.6311643123627, current best obj: -inf.
Starting label pr__ei, seed 137698174, iteration 18, time: 651.0441384315491, current best obj: -inf.
Starting label pr__ei, seed 137698174, iteration 19, time: 688.528568983078, current best obj: -inf.
Starting label pr__ei, seed 137698174, iteration 20, time: 726.0361785888672, current best obj: -inf.
Starting label pr__ei, seed 137698174, iteration 21, time: 763.5282351970673, current best obj: -inf.
Starting label pr__ei, seed 137698174, iteration 22, time: 801.1214773654938, current best obj: -inf.
Starting label pr__ei, seed 137698174, iteration 23, time: 845.9819886684418, current best obj: -inf.
Starting label pr__ei, seed 137698174, iteration 24, time: 890.9499971866608, current best obj: -inf.
Starting label pr__ei, seed 137698174, iteration 25, time: 935.9450533390045, current best obj: -inf.
Starting label pr__ei, seed 137698174, iteration 26, time: 980.9203443527222, current best obj: -inf.
Starting label pr__ei, seed 137698174, iteration 27, time: 1025.9737949371338, current best obj: -inf.
Starting label pr__ei, seed 137698174, iteration 28, time: 1071.7427778244019, current best obj: -inf.
Starting label pr__ei, seed 137698174, iteration 29, time: 1117.4718401432037, current best obj: -inf.
