Starting label pr__ei, seed 979621862, iteration 0, time: 0.00014495849609375, current best obj: -4133976.0.
Starting label pr__ei, seed 979621862, iteration 1, time: 40.44261646270752, current best obj: -4101548.0.
Starting label pr__ei, seed 979621862, iteration 2, time: 82.63871622085571, current best obj: -4101548.0.
Starting label pr__ei, seed 979621862, iteration 3, time: 124.36133980751038, current best obj: -4101548.0.
Starting label pr__ei, seed 979621862, iteration 4, time: 193.1998689174652, current best obj: -4101548.0.
Starting label pr__ei, seed 979621862, iteration 5, time: 261.5960695743561, current best obj: -4101548.0.
Starting label pr__ei, seed 979621862, iteration 6, time: 330.82064509391785, current best obj: -4101548.0.
Starting label pr__ei, seed 979621862, iteration 7, time: 399.69094610214233, current best obj: -4101548.0.
Starting label pr__ei, seed 979621862, iteration 8, time: 465.67813539505005, current best obj: -4101548.0.
Starting label pr__ei, seed 979621862, iteration 9, time: 535.372416973114, current best obj: -4101548.0.
Starting label pr__ei, seed 979621862, iteration 10, time: 607.0352194309235, current best obj: -4101548.0.
Starting label pr__ei, seed 979621862, iteration 11, time: 677.6612780094147, current best obj: -4101548.0.
Starting label pr__ei, seed 979621862, iteration 12, time: 750.778831243515, current best obj: -4101548.0.
Starting label pr__ei, seed 979621862, iteration 13, time: 821.9686224460602, current best obj: -4101548.0.
Starting label pr__ei, seed 979621862, iteration 14, time: 893.4769186973572, current best obj: -4101548.0.
Starting label pr__ei, seed 979621862, iteration 15, time: 963.6386880874634, current best obj: -4101548.0.
Starting label pr__ei, seed 979621862, iteration 16, time: 1038.4055292606354, current best obj: -4101548.0.
Starting label pr__ei, seed 979621862, iteration 17, time: 1110.4749827384949, current best obj: -4101548.0.
Starting label pr__ei, seed 979621862, iteration 18, time: 1184.6823372840881, current best obj: -4101548.0.
Starting label pr__ei, seed 979621862, iteration 19, time: 1261.808581829071, current best obj: -4101548.0.
Starting label pr__ei, seed 979621862, iteration 20, time: 1334.0699162483215, current best obj: -4101548.0.
Starting label pr__ei, seed 979621862, iteration 21, time: 1410.2076349258423, current best obj: -4101548.0.
Starting label pr__ei, seed 979621862, iteration 22, time: 1484.2527692317963, current best obj: -4101548.0.
Starting label pr__ei, seed 979621862, iteration 23, time: 1561.1824555397034, current best obj: -4101548.0.
Starting label pr__ei, seed 979621862, iteration 24, time: 1646.488077878952, current best obj: -4101548.0.
Starting label pr__ei, seed 979621862, iteration 25, time: 1730.5761137008667, current best obj: -4101548.0.
Starting label pr__ei, seed 979621862, iteration 26, time: 1816.147610425949, current best obj: -4101548.0.
Starting label pr__ei, seed 979621862, iteration 27, time: 1905.5672459602356, current best obj: -4101548.0.
Starting label pr__ei, seed 979621862, iteration 28, time: 1999.451153755188, current best obj: -4101548.0.
Starting label pr__ei, seed 979621862, iteration 29, time: 2085.479355573654, current best obj: -4101548.0.
