index,#vm,ram,target,feasible
485,12.0,0.7,-4007532,False
577,20.0,0.7,-4161120,False
638,26.0,0.7,-4411342,False
624,24.0,0.7,-4542408,False
582,20.0,0.7,-4167600,False
630,26.0,0.7,-4422158,False
579,20.0,0.7,-4123740,False
641,26.0,0.7,-4465084,False
242,19.0,0.2,-8847787,False
582,20.0,0.7,-4175620,False
643,26.0,0.7,-4381078,False
586,22.0,0.7,-4196280,False
642,26.0,0.7,-4356300,False
575,20.0,0.7,-4167600,False
624,24.0,0.7,-4437600,False
590,22.0,0.7,-4183300,False
631,26.0,0.7,-4356300,False
537,16.0,0.7,-5669856,False
588,22.0,0.7,-4141984,False
587,22.0,0.7,-4131622,False
596,22.0,0.7,-4162158,False
594,22.0,0.7,-4161608,False
620,24.0,0.7,-4502400,False
598,22.0,0.7,-4196280,False
582,20.0,0.7,-4234200,False
573,20.0,0.7,-4234200,False
588,22.0,0.7,-6696118,False
637,26.0,0.7,-4453878,False
638,26.0,0.7,-4467138,False
606,24.0,0.7,-4466544,False
524,16.0,0.7,-6020192,False
600,22.0,0.7,-6364556,False
612,24.0,0.7,-4515792,False
