index,#vm,ram,target,feasible
629,26.0,0.7,-4381078,False
666,5.0,4.0,-1272145,False
683,6.0,4.0,-1615170,False
225,19.0,0.2,-9311805,False
667,5.0,4.0,-1272145,False
695,3.0,9.0,-757503,False
639,26.0,0.7,-4356300,False
507,14.0,0.7,-4081644,False
0,3.0,0.2,-6863778,False
671,5.0,4.0,-1330615,False
690,3.0,9.0,-757503,False
676,6.0,4.0,-1412382,False
649,3.0,4.0,-1201401,False
685,6.0,4.0,-1411944,False
686,3.0,9.0,-707841,False
463,10.0,0.7,-5261790,False
683,6.0,4.0,-1412382,False
687,3.0,9.0,-716487,False
683,6.0,4.0,-1590270,False
681,6.0,4.0,-1456722,False
679,6.0,4.0,-1409808,False
492,12.0,0.7,-4645428,False
681,6.0,4.0,-1410162,False
681,6.0,4.0,-1410162,False
682,6.0,4.0,-1412382,False
677,6.0,4.0,-1401816,False
678,6.0,4.0,-1411944,False
615,24.0,0.7,-4518192,False
680,6.0,4.0,-1359486,False
632,26.0,0.7,-4397250,False
324,24.0,0.2,-9789264,False
677,6.0,4.0,-1412382,False
690,3.0,9.0,-757503,False
