index,#vm,ram,target,feasible
560,18.0,0.7,-4036248,False
489,12.0,0.7,-5478492,False
650,3.0,4.0,-1206189,False
695,3.0,9.0,-711864,False
689,3.0,9.0,-693243,False
1,3.0,0.2,-7622436,False
694,3.0,9.0,-757503,False
692,3.0,9.0,-714264,False
548,18.0,0.7,-5813136,False
567,20.0,0.7,-4198720,False
638,26.0,0.7,-4448496,False
622,24.0,0.7,-4504536,False
652,3.0,4.0,-1198095,False
647,3.0,4.0,-1191393,False
527,16.0,0.7,-4128224,False
694,3.0,9.0,-712923,False
579,20.0,0.7,-4175240,False
641,26.0,0.7,-4422158,False
602,22.0,0.7,-4079658,False
691,3.0,9.0,-683682,False
689,3.0,9.0,-757503,False
677,6.0,4.0,-1409808,False
682,6.0,4.0,-1590270,False
680,6.0,4.0,-1412382,False
679,6.0,4.0,-1412382,False
684,6.0,4.0,-1421658,False
451,10.0,0.7,-4372120,False
678,6.0,4.0,-1456722,False
682,6.0,4.0,-1590270,False
682,6.0,4.0,-1411944,False
679,6.0,4.0,-1410162,False
678,6.0,4.0,-1410162,False
691,3.0,9.0,-716487,False
