index,#vm,ram,target,feasible
77,9.0,0.2,-10160802,False
520,16.0,0.7,-5826368,False
610,24.0,0.7,-4395264,False
595,22.0,0.7,-4153578,False
575,20.0,0.7,-4233300,False
285,22.0,0.2,-8767330,False
636,26.0,0.7,-4411342,False
599,22.0,0.7,-4168186,False
622,24.0,0.7,-4518192,False
629,26.0,0.7,-4469998,False
614,24.0,0.7,-4500480,False
594,22.0,0.7,-4207984,False
639,26.0,0.7,-4426656,False
590,22.0,0.7,-4141874,False
619,24.0,0.7,-4510608,False
624,24.0,0.7,-4453824,False
632,26.0,0.7,-4446390,False
593,22.0,0.7,-4141984,False
595,22.0,0.7,-4183300,False
603,22.0,0.7,-4168186,False
597,22.0,0.7,-4153578,False
621,24.0,0.7,-4519320,False
588,22.0,0.7,-4143018,False
570,20.0,0.7,-4170180,False
583,22.0,0.7,-4131622,False
628,26.0,0.7,-4446390,False
639,26.0,0.7,-4469998,False
597,22.0,0.7,-6696118,False
636,26.0,0.7,-4356300,False
568,20.0,0.7,-4193800,False
594,22.0,0.7,-4162158,False
618,24.0,0.7,-4454736,False
634,26.0,0.7,-4469998,False
