index,#vm,ram,target,feasible
674,5.0,4.0,-1294435,False
565,20.0,0.7,-4233300,False
603,22.0,0.7,-4141874,False
679,6.0,4.0,-1359486,False
641,26.0,0.7,-4356300,False
571,20.0,0.7,-4234200,False
310,23.0,0.2,-8374967,False
681,6.0,4.0,-1410162,False
682,6.0,4.0,-1409808,False
514,14.0,0.7,-4110092,False
416,8.0,0.7,-4129104,False
691,3.0,9.0,-757503,False
650,3.0,4.0,-1191393,False
695,3.0,9.0,-757503,False
680,6.0,4.0,-1412382,False
685,6.0,4.0,-1359486,False
213,18.0,0.2,-8986104,False
572,20.0,0.7,-4132180,False
