index,#vm,ram,target,feasible
690,3.0,9.0,-714264,False
615,24.0,0.7,-4416768,False
581,20.0,0.7,-4218820,False
650,3.0,4.0,-1206189,False
687,3.0,9.0,-683682,False
677,6.0,4.0,-1401816,False
544,18.0,0.7,-4075326,False
238,19.0,0.2,-9400459,False
641,26.0,0.7,-4380688,False
645,26.0,0.7,-4408482,False
641,26.0,0.7,-4445142,False
601,22.0,0.7,-4196280,False
605,24.0,0.7,-4437600,False
626,26.0,0.7,-4468256,False
597,22.0,0.7,-4141984,False
562,20.0,0.7,-4123740,False
591,22.0,0.7,-4209370,False
607,24.0,0.7,-4454736,False
680,6.0,4.0,-1359486,False
566,20.0,0.7,-4138360,False
484,12.0,0.7,-4007532,False
685,6.0,4.0,-1421658,False
689,3.0,9.0,-714453,False
695,3.0,9.0,-707841,False
511,14.0,0.7,-5754182,False
693,3.0,9.0,-712923,False
564,20.0,0.7,-4132180,False
684,6.0,4.0,-1359486,False
676,6.0,4.0,-1412382,False
72,9.0,0.2,-8778735,False
678,6.0,4.0,-1411944,False
680,6.0,4.0,-1409808,False
679,6.0,4.0,-1409808,False
