index,#vm,ram,target,feasible
367,6.0,0.9,-2229090,False
613,24.0,0.7,-4408536,False
576,20.0,0.7,-4161240,False
596,22.0,0.7,-4209370,False
279,21.0,0.2,-8731170,False
597,22.0,0.7,-4101548,False
624,24.0,0.7,-4437600,False
555,18.0,0.7,-4054068,False
635,26.0,0.7,-4467138,False
591,22.0,0.7,-4124054,False
473,12.0,0.7,-4075980,False
605,24.0,0.7,-4483992,False
615,24.0,0.7,-4466928,False
643,26.0,0.7,-4411342,False
564,20.0,0.7,-6536660,False
624,24.0,0.7,-4408536,False
473,12.0,0.7,-4007532,False
565,20.0,0.7,-4162620,False
625,26.0,0.7,-4422158,False
631,26.0,0.7,-4438512,False
586,22.0,0.7,-4131622,False
542,18.0,0.7,-4054068,False
589,22.0,0.7,-4142446,False
629,26.0,0.7,-4411342,False
564,20.0,0.7,-4234200,False
572,20.0,0.7,-4138360,False
548,18.0,0.7,-4264236,False
655,3.0,4.0,-1204602,False
613,24.0,0.7,-4518192,False
644,26.0,0.7,-4408482,False
686,3.0,9.0,-693243,False
688,3.0,9.0,-683682,False
695,3.0,9.0,-712923,False
