index,#vm,ram,target,feasible
507,14.0,0.7,-5918710,False
492,12.0,0.7,-4042968,False
659,4.0,4.0,-1247004,False
663,4.0,4.0,-1232464,False
61,7.0,0.2,-9331693,False
657,4.0,4.0,-1224580,False
654,3.0,4.0,-1357980,False
502,14.0,0.7,-5190374,False
330,3.0,0.9,-2379231,False
694,3.0,9.0,-711864,False
688,3.0,9.0,-707841,False
142,13.0,0.2,-10013848,False
473,12.0,0.7,-4645428,False
473,12.0,0.7,-5339424,False
476,12.0,0.7,-5339424,False
691,3.0,9.0,-712923,False
474,12.0,0.7,-5368668,False
683,6.0,4.0,-1412382,False
161,15.0,0.2,-8049120,False
677,6.0,4.0,-1456722,False
687,3.0,9.0,-757503,False
688,3.0,9.0,-683682,False
692,3.0,9.0,-711864,False
694,3.0,9.0,-691836,False
679,6.0,4.0,-1410162,False
680,6.0,4.0,-1412382,False
684,6.0,4.0,-1410162,False
681,6.0,4.0,-1590270,False
677,6.0,4.0,-1401816,False
687,3.0,9.0,-693243,False
691,3.0,9.0,-714453,False
682,6.0,4.0,-1412382,False
684,6.0,4.0,-1421658,False
