index,#vm,ram,target,feasible
651,3.0,4.0,-1198095,False
622,24.0,0.7,-4454736,False
568,20.0,0.7,-4175620,False
568,20.0,0.7,-4218820,False
574,20.0,0.7,-4132180,False
255,21.0,0.2,-9339267,False
564,20.0,0.7,-4123740,False
229,19.0,0.2,-8934598,False
563,20.0,0.7,-4175620,False
470,10.0,0.7,-4050460,False
251,21.0,0.2,-9153459,False
220,19.0,0.2,-9394683,False
580,20.0,0.7,-4360260,False
599,22.0,0.7,-4139894,False
686,3.0,9.0,-712923,False
662,4.0,4.0,-1247080,False
691,3.0,9.0,-757503,False
694,3.0,9.0,-683682,False
695,3.0,9.0,-683682,False
694,3.0,9.0,-711864,False
693,3.0,9.0,-757503,False
687,3.0,9.0,-691836,False
600,22.0,0.7,-4141984,False
691,3.0,9.0,-691836,False
686,3.0,9.0,-757503,False
695,3.0,9.0,-716487,False
332,3.0,0.9,-3962706,False
689,3.0,9.0,-711864,False
679,6.0,4.0,-1412382,False
629,26.0,0.7,-4422158,False
646,3.0,4.0,-1206189,False
655,3.0,4.0,-1204602,False
635,26.0,0.7,-4426656,False
