index,#vm,ram,target,feasible
677,6.0,4.0,-1411944,False
154,15.0,0.2,-8999880,False
567,20.0,0.7,-4218820,False
649,3.0,4.0,-1191393,False
685,6.0,4.0,-1409808,False
594,22.0,0.7,-6696118,False
568,20.0,0.7,-4161240,False
571,20.0,0.7,-4218820,False
577,20.0,0.7,-4170180,False
592,22.0,0.7,-4079658,False
679,6.0,4.0,-1410162,False
684,6.0,4.0,-1456722,False
680,6.0,4.0,-1411944,False
360,6.0,0.9,-2607030,False
693,3.0,9.0,-707841,False
683,6.0,4.0,-1410162,False
681,6.0,4.0,-1421658,False
689,3.0,9.0,-716487,False
695,3.0,9.0,-757503,False
676,6.0,4.0,-1590270,False
575,20.0,0.7,-4175240,False
683,6.0,4.0,-1615170,False
679,6.0,4.0,-1410162,False
678,6.0,4.0,-1615170,False
481,12.0,0.7,-4616652,False
681,6.0,4.0,-1411944,False
449,10.0,0.7,-4372120,False
680,6.0,4.0,-1615170,False
684,6.0,4.0,-1410162,False
453,10.0,0.7,-5038840,False
685,6.0,4.0,-1401816,False
681,6.0,4.0,-1421658,False
554,18.0,0.7,-4123332,False
