index,#vm,ram,target,feasible
483,12.0,0.7,-5361072,False
644,26.0,0.7,-4446390,False
538,16.0,0.7,-5826368,False
617,24.0,0.7,-4515792,False
640,26.0,0.7,-4380688,False
633,26.0,0.7,-4438512,False
643,26.0,0.7,-4380688,False
626,26.0,0.7,-4448496,False
645,26.0,0.7,-4408482,False
607,24.0,0.7,-4466928,False
626,26.0,0.7,-4397250,False
628,26.0,0.7,-4397250,False
633,26.0,0.7,-4465084,False
607,24.0,0.7,-4504536,False
605,24.0,0.7,-4500480,False
630,26.0,0.7,-4422158,False
636,26.0,0.7,-4380688,False
640,26.0,0.7,-4422158,False
643,26.0,0.7,-4448496,False
644,26.0,0.7,-4465084,False
633,26.0,0.7,-4467138,False
626,26.0,0.7,-4465084,False
7,3.0,0.2,-7800555,False
627,26.0,0.7,-4469998,False
625,26.0,0.7,-4446390,False
645,26.0,0.7,-4426656,False
629,26.0,0.7,-4380688,False
618,24.0,0.7,-4510608,False
607,24.0,0.7,-4466544,False
628,26.0,0.7,-4465084,False
615,24.0,0.7,-4437600,False
292,23.0,0.2,-9468364,False
631,26.0,0.7,-4467138,False
