index,#vm,ram,target,feasible
662,4.0,4.0,-1272140,False
570,20.0,0.7,-4175620,False
607,24.0,0.7,-4502400,False
568,20.0,0.7,-4161120,False
501,14.0,0.7,-4082512,False
562,20.0,0.7,-6287920,False
576,20.0,0.7,-4233300,False
443,10.0,0.7,-4371600,False
553,18.0,0.7,-4090896,False
613,24.0,0.7,-4525032,False
584,22.0,0.7,-4133976,False
622,24.0,0.7,-4453824,False
631,26.0,0.7,-4381078,False
640,26.0,0.7,-4411342,False
634,26.0,0.7,-4469998,False
282,22.0,0.2,-8953340,False
634,26.0,0.7,-4426656,False
624,24.0,0.7,-4510608,False
617,24.0,0.7,-4519320,False
337,3.0,0.9,-2491344,False
656,4.0,4.0,-1232464,False
595,22.0,0.7,-4183300,False
694,3.0,9.0,-716487,False
692,3.0,9.0,-714264,False
691,3.0,9.0,-707841,False
694,3.0,9.0,-683682,False
691,3.0,9.0,-712923,False
684,6.0,4.0,-1409808,False
678,6.0,4.0,-1359486,False
682,6.0,4.0,-1590270,False
681,6.0,4.0,-1590270,False
694,3.0,9.0,-683682,False
682,6.0,4.0,-1409808,False
