index,#vm,ram,target,feasible
498,14.0,0.7,-4777346,False
80,9.0,0.2,-8609031,False
681,6.0,4.0,-1401816,False
680,6.0,4.0,-1359486,False
632,26.0,0.7,-4453878,False
500,14.0,0.7,-5417496,False
656,4.0,4.0,-1223912,False
693,3.0,9.0,-693243,False
694,3.0,9.0,-757503,False
675,5.0,4.0,-1330615,False
692,3.0,9.0,-683682,False
692,3.0,9.0,-714453,False
677,6.0,4.0,-1359486,False
694,3.0,9.0,-707841,False
644,26.0,0.7,-4411342,False
630,26.0,0.7,-4446390,False
678,6.0,4.0,-1615170,False
619,24.0,0.7,-4518192,False
511,14.0,0.7,-5681998,False
682,6.0,4.0,-1409808,False
605,24.0,0.7,-4519320,False
685,6.0,4.0,-1359486,False
627,26.0,0.7,-4467138,False
642,26.0,0.7,-4397250,False
685,6.0,4.0,-1421658,False
624,24.0,0.7,-4518192,False
323,24.0,0.2,-8272560,False
587,22.0,0.7,-4161608,False
572,20.0,0.7,-6287920,False
591,22.0,0.7,-4162158,False
688,3.0,9.0,-714264,False
687,3.0,9.0,-711864,False
689,3.0,9.0,-714264,False
