index,#vm,ram,target,feasible
150,15.0,0.2,-6608325,False
693,3.0,9.0,-683682,False
484,12.0,0.7,-4027260,False
690,3.0,9.0,-683682,False
681,6.0,4.0,-1456722,False
631,26.0,0.7,-4397250,False
679,6.0,4.0,-1410162,False
576,20.0,0.7,-4167600,False
632,26.0,0.7,-4438512,False
603,22.0,0.7,-4183300,False
86,10.0,0.2,-10126060,False
491,12.0,0.7,-5362164,False
689,3.0,9.0,-711864,False
680,6.0,4.0,-1409808,False
688,3.0,9.0,-716487,False
690,3.0,9.0,-757503,False
649,3.0,4.0,-1214481,False
694,3.0,9.0,-691836,False
504,14.0,0.7,-5457914,False
682,6.0,4.0,-1615170,False
693,3.0,9.0,-714453,False
695,3.0,9.0,-693243,False
695,3.0,9.0,-707841,False
688,3.0,9.0,-711864,False
677,6.0,4.0,-1410162,False
686,3.0,9.0,-683682,False
681,6.0,4.0,-1411944,False
613,24.0,0.7,-4519320,False
618,24.0,0.7,-4502400,False
578,20.0,0.7,-4170180,False
634,26.0,0.7,-4453878,False
594,22.0,0.7,-4168186,False
561,18.0,0.7,-4036248,False
