index,#vm,ram,target,feasible
488,12.0,0.7,-5361072,False
623,24.0,0.7,-4408536,False
564,20.0,0.7,-6536660,False
619,24.0,0.7,-4542408,False
616,24.0,0.7,-4483992,False
613,24.0,0.7,-4518192,False
611,24.0,0.7,-4453824,False
618,24.0,0.7,-4525032,False
611,24.0,0.7,-4453824,False
615,24.0,0.7,-4466544,False
316,24.0,0.2,-8602752,False
622,24.0,0.7,-4454736,False
624,24.0,0.7,-4447416,False
614,24.0,0.7,-4534464,False
611,24.0,0.7,-4500480,False
605,24.0,0.7,-4519320,False
614,24.0,0.7,-4416768,False
608,24.0,0.7,-4500480,False
332,3.0,0.9,-2254809,False
220,19.0,0.2,-9085268,False
644,26.0,0.7,-4381078,False
634,26.0,0.7,-4445142,False
631,26.0,0.7,-4356300,False
644,26.0,0.7,-4518982,False
634,26.0,0.7,-4426656,False
634,26.0,0.7,-4408482,False
628,26.0,0.7,-4518982,False
635,26.0,0.7,-4467138,False
640,26.0,0.7,-4468256,False
630,26.0,0.7,-4408482,False
627,26.0,0.7,-4416958,False
632,26.0,0.7,-4426656,False
623,24.0,0.7,-4515792,False
