index,#vm,ram,target,feasible
596,22.0,0.7,-4207984,False
24,5.0,0.2,-8797105,False
482,12.0,0.7,-4007532,False
539,16.0,0.7,-4011616,False
689,3.0,9.0,-683682,False
695,3.0,9.0,-757503,False
498,14.0,0.7,-5754182,False
640,26.0,0.7,-4397250,False
686,3.0,9.0,-757503,False
590,22.0,0.7,-4162158,False
567,20.0,0.7,-4198720,False
678,6.0,4.0,-1615170,False
625,26.0,0.7,-4469998,False
620,24.0,0.7,-4437600,False
638,26.0,0.7,-4453878,False
591,22.0,0.7,-4079658,False
592,22.0,0.7,-4143018,False
583,22.0,0.7,-4139234,False
586,22.0,0.7,-4141874,False
692,3.0,9.0,-711864,False
637,26.0,0.7,-4446390,False
554,18.0,0.7,-4131792,False
634,26.0,0.7,-4405440,False
588,22.0,0.7,-4142446,False
309,23.0,0.2,-8416712,False
627,26.0,0.7,-4438512,False
571,20.0,0.7,-4175620,False
639,26.0,0.7,-4467138,False
586,22.0,0.7,-4209370,False
589,22.0,0.7,-4139894,False
564,20.0,0.7,-4161120,False
625,26.0,0.7,-4448496,False
684,6.0,4.0,-1401816,False
