index,#vm,ram,target,feasible
555,18.0,0.7,-4123332,False
678,6.0,4.0,-1401816,False
469,10.0,0.7,-4371600,False
683,6.0,4.0,-1615170,False
679,6.0,4.0,-1615170,False
679,6.0,4.0,-1615170,False
553,18.0,0.7,-4131792,False
683,6.0,4.0,-1421658,False
680,6.0,4.0,-1411944,False
685,6.0,4.0,-1615170,False
681,6.0,4.0,-1456722,False
683,6.0,4.0,-1359486,False
681,6.0,4.0,-1456722,False
680,6.0,4.0,-1590270,False
655,3.0,4.0,-1204602,False
510,14.0,0.7,-4021472,False
592,22.0,0.7,-4133976,False
621,24.0,0.7,-4504536,False
589,22.0,0.7,-4101548,False
612,24.0,0.7,-4453824,False
590,22.0,0.7,-4207984,False
0,3.0,0.2,-6782883,False
679,6.0,4.0,-1411944,False
646,3.0,4.0,-1201401,False
689,3.0,9.0,-716487,False
693,3.0,9.0,-716487,False
690,3.0,9.0,-716487,False
438,10.0,0.7,-4380700,False
648,3.0,4.0,-1191393,False
680,6.0,4.0,-1410162,False
687,3.0,9.0,-716487,False
691,3.0,9.0,-712923,False
299,23.0,0.2,-9345521,False
