index,#vm,ram,target,feasible
535,16.0,0.7,-3939280,False
504,14.0,0.7,-5754182,False
684,6.0,4.0,-1590270,False
681,6.0,4.0,-1590270,False
677,6.0,4.0,-1411944,False
684,6.0,4.0,-1456722,False
637,26.0,0.7,-4381078,False
595,22.0,0.7,-6364556,False
56,7.0,0.2,-9662275,False
681,6.0,4.0,-1615170,False
679,6.0,4.0,-1411944,False
678,6.0,4.0,-1590270,False
683,6.0,4.0,-1359486,False
657,4.0,4.0,-1228016,False
694,3.0,9.0,-712923,False
688,3.0,9.0,-714264,False
692,3.0,9.0,-683682,False
689,3.0,9.0,-712923,False
681,6.0,4.0,-1456722,False
695,3.0,9.0,-707841,False
640,26.0,0.7,-4438512,False
685,6.0,4.0,-1615170,False
629,26.0,0.7,-4356300,False
686,3.0,9.0,-691836,False
246,20.0,0.2,-9428800,False
627,26.0,0.7,-4438512,False
641,26.0,0.7,-4446390,False
504,14.0,0.7,-5754182,False
644,26.0,0.7,-4422158,False
676,6.0,4.0,-1410162,False
590,22.0,0.7,-4139894,False
506,14.0,0.7,-4021472,False
617,24.0,0.7,-4454736,False
