index,#vm,ram,target,feasible
643,26.0,0.7,-4448496,False
686,3.0,9.0,-693243,False
473,12.0,0.7,-4013832,False
695,3.0,9.0,-716487,False
689,3.0,9.0,-711864,False
641,26.0,0.7,-4381078,False
631,26.0,0.7,-4426656,False
27,5.0,0.2,-9705715,False
684,6.0,4.0,-1456722,False
686,3.0,9.0,-712923,False
683,6.0,4.0,-1456722,False
474,12.0,0.7,-5362164,False
514,14.0,0.7,-5417496,False
678,6.0,4.0,-1412382,False
583,22.0,0.7,-4153578,False
681,6.0,4.0,-1401816,False
216,19.0,0.2,-8962357,False
320,24.0,0.2,-8508264,False
695,3.0,9.0,-712923,False
677,6.0,4.0,-1411944,False
692,3.0,9.0,-714453,False
683,6.0,4.0,-1359486,False
678,6.0,4.0,-1412382,False
683,6.0,4.0,-1401816,False
690,3.0,9.0,-757503,False
432,10.0,0.7,-3821980,False
594,22.0,0.7,-4124054,False
590,22.0,0.7,-4141984,False
682,6.0,4.0,-1411944,False
592,22.0,0.7,-4124054,False
249,21.0,0.2,-9138129,False
167,15.0,0.2,-9588315,False
683,6.0,4.0,-1401816,False
