index,parallelism_ffmpeg-0,parallelism_librosa,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_deepspeech,target,feasible
268,4.0,2.0,2.0,4.0,4.0,-0.848291667,False
145,2.0,4.0,4.0,6.0,2.0,-0.338625681,True
260,2.0,2.0,4.0,4.0,2.0,-0.537317903,False
64,4.0,6.0,4.0,6.0,4.0,-0.289680556,True
62,2.0,4.0,4.0,8.0,4.0,-0.346334431,True
210,2.0,6.0,2.0,2.0,4.0,-1.265793236,False
216,4.0,2.0,4.0,6.0,2.0,-0.571856903,False
24,4.0,4.0,2.0,4.0,4.0,-0.461416667,True
248,4.0,2.0,4.0,2.0,2.0,-1.079555556,False
115,2.0,4.0,2.0,8.0,2.0,-0.469847222,True
210,2.0,6.0,2.0,2.0,4.0,-0.753805556,False
47,2.0,6.0,4.0,8.0,2.0,-0.730130069,True
274,2.0,4.0,2.0,6.0,2.0,-0.397555556,False
192,2.0,4.0,2.0,8.0,4.0,-0.55837625,False
148,2.0,4.0,4.0,8.0,2.0,-0.496097222,True
58,2.0,6.0,2.0,8.0,4.0,-0.358575153,True
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,True
125,4.0,2.0,4.0,6.0,2.0,-0.4634665,True
47,2.0,6.0,4.0,8.0,2.0,-0.730130069,True
