index,parallelism_ffmpeg-0,parallelism_librosa,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_deepspeech,target,feasible
37,4.0,6.0,2.0,4.0,2.0,-0.4056085,True
142,2.0,4.0,4.0,8.0,4.0,-0.48625,True
184,4.0,4.0,2.0,2.0,4.0,-1.723588111,False
213,4.0,2.0,4.0,6.0,2.0,-0.56625,False
70,2.0,6.0,4.0,6.0,4.0,-0.327348181,True
236,2.0,2.0,4.0,2.0,4.0,-1.192458333,False
136,2.0,6.0,4.0,6.0,4.0,-0.376416667,True
95,4.0,4.0,2.0,4.0,2.0,-0.563819444,True
138,4.0,4.0,4.0,2.0,4.0,-2.279416667,True
42,2.0,6.0,4.0,4.0,2.0,-0.556583333,True
126,2.0,6.0,4.0,4.0,2.0,-0.556583333,True
84,4.0,6.0,4.0,4.0,2.0,-0.990777778,True
140,2.0,6.0,4.0,6.0,2.0,-0.347250847,True
76,4.0,4.0,2.0,6.0,4.0,-0.409236111,True
1,2.0,4.0,2.0,4.0,4.0,-0.351947292,True
43,2.0,4.0,4.0,6.0,2.0,-0.503777778,True
110,2.0,6.0,2.0,4.0,2.0,-0.638375,True
37,4.0,6.0,2.0,4.0,2.0,-0.4056085,True
58,2.0,6.0,2.0,8.0,4.0,-0.472138889,True
