index,parallelism_ffmpeg-0,parallelism_librosa,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_deepspeech,target,feasible
257,2.0,2.0,2.0,6.0,2.0,-0.53278925,False
111,2.0,4.0,4.0,4.0,2.0,-0.525222222,True
183,2.0,2.0,2.0,8.0,4.0,-0.525085903,False
243,4.0,6.0,2.0,2.0,2.0,-1.863021056,False
23,4.0,4.0,4.0,4.0,2.0,-0.457704472,True
120,2.0,6.0,2.0,8.0,4.0,-0.368771528,True
87,2.0,2.0,4.0,4.0,4.0,-0.421543819,True
38,4.0,6.0,2.0,6.0,2.0,-0.328707986,True
25,4.0,4.0,4.0,8.0,2.0,-0.322285514,True
38,4.0,6.0,2.0,6.0,2.0,-0.328707986,True
179,4.0,2.0,2.0,2.0,4.0,-1.021298139,False
120,2.0,6.0,2.0,8.0,4.0,-0.472138889,True
258,2.0,4.0,2.0,8.0,4.0,-0.55837625,False
68,4.0,6.0,4.0,8.0,2.0,-0.515444444,True
88,4.0,4.0,2.0,4.0,2.0,-0.359824042,True
122,2.0,6.0,2.0,6.0,4.0,-0.474069444,True
80,4.0,4.0,4.0,4.0,4.0,-0.691569444,True
93,4.0,4.0,2.0,8.0,2.0,-0.449402778,True
177,2.0,2.0,4.0,8.0,4.0,-0.544234181,False
