index,parallelism_ffmpeg-0,parallelism_librosa,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_deepspeech,target,feasible
84,4.0,6.0,4.0,4.0,2.0,-0.782349653,True
44,2.0,4.0,4.0,6.0,4.0,-0.502097222,True
176,2.0,4.0,4.0,2.0,4.0,-1.711277778,False
105,4.0,4.0,2.0,8.0,2.0,-0.476013889,True
19,4.0,4.0,2.0,8.0,2.0,-0.314709528,True
152,2.0,2.0,4.0,4.0,2.0,-0.537317903,True
86,4.0,6.0,2.0,4.0,4.0,-0.523083333,True
152,2.0,2.0,4.0,4.0,2.0,-0.537317903,True
83,4.0,4.0,2.0,4.0,4.0,-0.379202111,True
98,4.0,6.0,2.0,8.0,2.0,-0.326393083,True
72,2.0,4.0,2.0,2.0,4.0,-1.663708333,True
19,4.0,4.0,2.0,8.0,2.0,-0.449402778,True
3,4.0,6.0,4.0,8.0,4.0,-0.177944444,True
118,2.0,6.0,4.0,6.0,2.0,-0.469930556,True
119,4.0,2.0,4.0,6.0,4.0,-0.464861111,True
40,4.0,6.0,4.0,6.0,2.0,-0.589277778,True
77,4.0,6.0,2.0,8.0,4.0,-0.361694444,True
102,4.0,6.0,4.0,8.0,2.0,-0.336847361,True
120,2.0,6.0,2.0,8.0,4.0,-0.472138889,True
