index,parallelism_ffmpeg-0,parallelism_librosa,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_deepspeech,target,feasible
239,4.0,6.0,4.0,2.0,2.0,-2.605416667,False
104,2.0,2.0,2.0,6.0,4.0,-0.461257611,True
67,2.0,4.0,4.0,4.0,4.0,-0.355211889,True
128,2.0,2.0,2.0,8.0,2.0,-0.844166667,True
81,4.0,4.0,2.0,6.0,2.0,-0.453569444,True
129,4.0,2.0,4.0,4.0,4.0,-0.472590528,True
55,2.0,6.0,2.0,6.0,4.0,-0.347265153,True
226,4.0,4.0,4.0,2.0,4.0,-2.279416667,False
79,4.0,6.0,2.0,6.0,4.0,-0.416763889,True
203,2.0,2.0,4.0,8.0,2.0,-0.560458333,False
220,2.0,6.0,4.0,2.0,4.0,-1.744666667,False
200,2.0,2.0,4.0,4.0,4.0,-0.439447347,False
66,2.0,6.0,4.0,8.0,4.0,-0.506138889,True
39,2.0,6.0,4.0,4.0,4.0,-0.354505208,True
101,2.0,2.0,4.0,6.0,4.0,-0.702819444,True
121,4.0,2.0,2.0,8.0,4.0,-0.475219681,True
32,4.0,6.0,2.0,4.0,4.0,-0.345415417,True
112,2.0,4.0,2.0,2.0,4.0,-1.663708333,True
6,4.0,6.0,4.0,6.0,4.0,-0.635833333,True
