index,parallelism_ffmpeg-0,parallelism_librosa,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_deepspeech,target,feasible
5,4.0,6.0,4.0,6.0,4.0,-0.635833333,True
123,2.0,2.0,2.0,6.0,4.0,-0.548472222,True
143,2.0,6.0,4.0,8.0,2.0,-0.486527778,True
226,4.0,4.0,4.0,2.0,4.0,-2.279416667,False
2,2.0,4.0,2.0,4.0,4.0,-0.498833333,True
46,2.0,4.0,4.0,8.0,2.0,-0.496097222,True
235,2.0,4.0,2.0,2.0,2.0,-1.829888889,False
197,4.0,2.0,4.0,6.0,4.0,-0.464861111,False
91,4.0,6.0,2.0,8.0,2.0,-0.442208333,True
271,2.0,2.0,2.0,8.0,2.0,-0.723914528,False
189,2.0,6.0,4.0,2.0,2.0,-1.661791667,False
91,4.0,6.0,2.0,8.0,2.0,-0.442208333,True
208,4.0,2.0,2.0,8.0,2.0,-0.836875,False
13,4.0,6.0,2.0,8.0,4.0,-0.411388889,True
86,4.0,6.0,2.0,4.0,4.0,-0.523083333,True
91,4.0,6.0,2.0,8.0,2.0,-0.442208333,True
57,4.0,6.0,4.0,8.0,4.0,-0.411472222,True
6,4.0,6.0,4.0,6.0,4.0,-0.635833333,True
66,2.0,6.0,4.0,8.0,4.0,-0.366388889,True
