index,parallelism_ffmpeg-0,parallelism_librosa,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_deepspeech,target,feasible
64,4.0,6.0,4.0,6.0,4.0,-0.263958333,True
191,2.0,2.0,2.0,6.0,2.0,-0.53278925,False
226,4.0,4.0,4.0,2.0,4.0,-2.279416667,False
105,4.0,4.0,2.0,8.0,2.0,-0.314709528,True
77,4.0,6.0,2.0,8.0,4.0,-0.298934014,True
167,2.0,2.0,4.0,2.0,2.0,-0.982603028,True
275,2.0,4.0,2.0,6.0,2.0,-0.574871111,False
99,2.0,2.0,4.0,4.0,4.0,-0.421543819,True
244,4.0,4.0,2.0,2.0,2.0,-1.909765486,False
134,4.0,2.0,4.0,4.0,4.0,-0.469290486,True
77,4.0,6.0,2.0,8.0,4.0,-0.361694444,True
18,4.0,4.0,2.0,6.0,4.0,-0.312747681,True
78,4.0,6.0,2.0,6.0,4.0,-0.329223611,True
157,4.0,2.0,4.0,8.0,4.0,-0.507875,True
22,4.0,6.0,2.0,4.0,2.0,-0.516527778,True
16,4.0,4.0,4.0,6.0,4.0,-0.309360444,True
59,2.0,4.0,4.0,8.0,4.0,-0.346334431,True
48,2.0,4.0,4.0,6.0,4.0,-0.502097222,True
83,4.0,4.0,2.0,4.0,4.0,-0.320928667,True
