index,parallelism_ffmpeg-0,parallelism_librosa,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_deepspeech,target,feasible
113,2.0,4.0,4.0,4.0,4.0,-0.356944444,True
132,2.0,2.0,2.0,4.0,4.0,-0.474599083,True
143,2.0,6.0,4.0,8.0,2.0,-0.339389972,True
273,4.0,2.0,2.0,4.0,4.0,-0.462181681,False
86,4.0,6.0,2.0,4.0,4.0,-0.514958333,True
203,2.0,2.0,4.0,8.0,2.0,-0.560458333,False
230,4.0,4.0,2.0,2.0,2.0,-1.909765486,False
48,2.0,4.0,4.0,6.0,4.0,-0.342658708,True
4,4.0,6.0,4.0,8.0,4.0,-0.177944444,True
274,2.0,4.0,2.0,6.0,2.0,-0.750597222,False
77,4.0,6.0,2.0,8.0,4.0,-0.298934014,True
4,4.0,6.0,4.0,8.0,4.0,-0.174361111,True
58,2.0,6.0,2.0,8.0,4.0,-0.472138889,True
52,2.0,6.0,2.0,6.0,2.0,-0.48275,True
41,4.0,6.0,4.0,8.0,2.0,-0.515444444,True
269,4.0,2.0,2.0,8.0,4.0,-0.818444444,False
205,2.0,2.0,2.0,2.0,4.0,-1.028465194,False
113,2.0,4.0,4.0,4.0,4.0,-0.356944444,True
57,4.0,6.0,4.0,8.0,4.0,-0.174361111,True
