index,parallelism_ffmpeg-0,parallelism_librosa,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_deepspeech,target,feasible
78,4.0,6.0,2.0,6.0,4.0,-0.329223611,True
221,4.0,2.0,4.0,4.0,2.0,-0.489930597,False
98,4.0,6.0,2.0,8.0,2.0,-0.451875,True
54,2.0,4.0,4.0,4.0,4.0,-0.355211889,True
53,2.0,4.0,4.0,4.0,2.0,-0.525222222,True
121,4.0,2.0,2.0,8.0,4.0,-0.818444444,True
239,4.0,6.0,4.0,2.0,2.0,-2.643055556,False
123,2.0,2.0,2.0,6.0,4.0,-0.461257611,True
148,2.0,4.0,4.0,8.0,2.0,-0.496416667,True
134,4.0,2.0,4.0,4.0,4.0,-0.472590528,True
70,2.0,6.0,4.0,6.0,4.0,-0.376416667,True
152,2.0,2.0,4.0,4.0,2.0,-0.505361111,True
205,2.0,2.0,2.0,2.0,4.0,-0.561025153,False
50,2.0,4.0,2.0,6.0,4.0,-0.503263889,True
180,4.0,6.0,2.0,2.0,2.0,-1.863021056,False
0,2.0,4.0,2.0,4.0,4.0,-0.498833333,True
3,4.0,6.0,4.0,8.0,4.0,-0.177944444,True
69,2.0,6.0,2.0,8.0,4.0,-0.368771528,True
60,2.0,6.0,4.0,6.0,2.0,-0.489888889,True
