index,parallelism_ffmpeg-0,parallelism_librosa,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_deepspeech,target,feasible
26,4.0,4.0,4.0,6.0,4.0,-0.335936681,True
174,2.0,4.0,2.0,2.0,2.0,-1.583097222,False
127,2.0,6.0,2.0,8.0,2.0,-0.48025,True
268,4.0,2.0,2.0,4.0,4.0,-0.848291667,False
164,4.0,4.0,2.0,2.0,4.0,-1.912622528,True
186,2.0,2.0,4.0,6.0,2.0,-0.523680556,False
42,2.0,6.0,4.0,4.0,2.0,-0.550736111,True
45,4.0,4.0,4.0,8.0,4.0,-0.233569444,True
159,2.0,4.0,2.0,8.0,2.0,-0.240564167,True
25,4.0,4.0,4.0,8.0,2.0,-0.322285514,True
91,4.0,6.0,2.0,8.0,2.0,-0.442208333,True
25,4.0,4.0,4.0,8.0,2.0,-0.322285514,True
26,4.0,4.0,4.0,6.0,4.0,-0.335936681,True
272,4.0,2.0,4.0,8.0,4.0,-0.750095889,False
197,4.0,2.0,4.0,6.0,4.0,-0.543944444,False
125,4.0,2.0,4.0,6.0,2.0,-0.571856903,True
73,2.0,4.0,2.0,6.0,2.0,-0.750597222,True
100,4.0,4.0,2.0,6.0,2.0,-0.425430208,True
71,4.0,4.0,2.0,8.0,4.0,-0.4445,True
