index,parallelism_ffmpeg-0,parallelism_librosa,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_deepspeech,target,feasible
126,2.0,6.0,4.0,4.0,2.0,-0.556583333,True
107,4.0,2.0,4.0,6.0,4.0,-0.446536125,True
139,4.0,6.0,4.0,2.0,4.0,-2.677372167,True
199,2.0,2.0,2.0,8.0,4.0,-0.558790042,False
141,2.0,6.0,2.0,8.0,2.0,-0.486847222,True
179,4.0,2.0,2.0,2.0,4.0,-0.773426778,False
78,4.0,6.0,2.0,6.0,4.0,-0.430708333,True
53,2.0,4.0,4.0,4.0,2.0,-0.525222222,True
254,2.0,6.0,2.0,2.0,2.0,-1.897097222,False
94,4.0,6.0,2.0,6.0,2.0,-0.328707986,True
30,4.0,6.0,2.0,6.0,2.0,-0.332537986,True
167,2.0,2.0,4.0,2.0,2.0,-0.826847028,True
219,4.0,2.0,2.0,6.0,2.0,-0.45505725,False
13,4.0,6.0,2.0,8.0,4.0,-0.298934014,True
91,4.0,6.0,2.0,8.0,2.0,-0.326393083,True
71,4.0,4.0,2.0,8.0,4.0,-0.313295944,True
45,4.0,4.0,4.0,8.0,4.0,-0.337648278,True
19,4.0,4.0,2.0,8.0,2.0,-0.314709528,True
215,4.0,2.0,4.0,8.0,2.0,-0.569402778,False
