index,parallelism_ffmpeg-0,parallelism_librosa,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_deepspeech,target,feasible
111,2.0,4.0,4.0,4.0,2.0,-0.550722222,True
83,4.0,4.0,2.0,4.0,4.0,-0.320928667,True
193,2.0,2.0,4.0,8.0,4.0,-0.456300083,False
243,4.0,6.0,2.0,2.0,2.0,-1.863021056,False
232,4.0,2.0,2.0,2.0,2.0,-1.063930556,False
66,2.0,6.0,4.0,8.0,4.0,-0.506138889,True
116,2.0,4.0,2.0,4.0,2.0,-0.457611111,True
43,2.0,4.0,4.0,6.0,2.0,-0.483902778,True
270,4.0,2.0,2.0,8.0,2.0,-0.836875,False
250,2.0,2.0,2.0,8.0,4.0,-0.558790042,False
201,2.0,2.0,2.0,6.0,4.0,-0.548472222,False
32,4.0,6.0,2.0,4.0,4.0,-0.514958333,True
260,2.0,2.0,4.0,4.0,2.0,-0.505361111,False
190,2.0,6.0,2.0,4.0,2.0,-0.638375,False
150,2.0,4.0,2.0,2.0,4.0,-0.389361375,True
74,4.0,4.0,2.0,8.0,4.0,-0.413611111,True
76,4.0,4.0,2.0,6.0,4.0,-0.328441333,True
223,2.0,2.0,2.0,2.0,2.0,-0.920423736,False
75,2.0,2.0,4.0,6.0,2.0,-0.391723917,True
