index,parallelism_ffmpeg-0,parallelism_librosa,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_deepspeech,target,feasible
274,2.0,4.0,2.0,6.0,2.0,-0.574871111,False
119,4.0,2.0,4.0,6.0,4.0,-0.543944444,True
220,2.0,6.0,4.0,2.0,4.0,-1.744666667,False
159,2.0,4.0,2.0,8.0,2.0,-0.240564167,True
143,2.0,6.0,4.0,8.0,2.0,-0.730130069,True
1,2.0,4.0,2.0,4.0,4.0,-0.498833333,True
83,4.0,4.0,2.0,4.0,4.0,-0.379202111,True
202,2.0,2.0,2.0,4.0,2.0,-0.635083333,False
163,2.0,6.0,4.0,2.0,4.0,-1.744666667,True
148,2.0,4.0,4.0,8.0,2.0,-0.496416667,True
46,2.0,4.0,4.0,8.0,2.0,-0.341116875,True
77,4.0,6.0,2.0,8.0,4.0,-0.411388889,True
165,4.0,6.0,2.0,2.0,4.0,-1.700916667,True
5,4.0,6.0,4.0,6.0,4.0,-0.263958333,True
100,4.0,4.0,2.0,6.0,2.0,-0.425430208,True
51,4.0,6.0,2.0,8.0,4.0,-0.361694444,True
130,2.0,6.0,2.0,6.0,2.0,-0.341679014,True
203,2.0,2.0,4.0,8.0,2.0,-0.560458333,False
151,2.0,4.0,4.0,6.0,4.0,-0.349742236,True
