index,parallelism_ffmpeg-0,parallelism_librosa,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_deepspeech,target,feasible
133,2.0,4.0,4.0,6.0,2.0,-0.503777778,True
187,2.0,2.0,2.0,4.0,4.0,-0.455934792,False
103,4.0,6.0,4.0,6.0,2.0,-0.725972222,True
67,2.0,4.0,4.0,4.0,4.0,-0.496375,True
254,2.0,6.0,2.0,2.0,2.0,-1.550319444,False
16,4.0,4.0,4.0,6.0,4.0,-0.309360444,True
170,2.0,4.0,4.0,2.0,4.0,-1.748654097,True
215,4.0,2.0,4.0,8.0,2.0,-0.575388889,False
55,2.0,6.0,2.0,6.0,4.0,-0.363416389,True
261,2.0,2.0,4.0,6.0,4.0,-0.531611111,False
114,4.0,2.0,2.0,6.0,2.0,-0.564430556,True
52,2.0,6.0,2.0,6.0,2.0,-0.489805556,True
46,2.0,4.0,4.0,8.0,2.0,-0.496097222,True
116,2.0,4.0,2.0,4.0,2.0,-0.457611111,True
91,4.0,6.0,2.0,8.0,2.0,-0.442208333,True
200,2.0,2.0,4.0,4.0,4.0,-0.439447347,False
257,2.0,2.0,2.0,6.0,2.0,-0.53278925,False
132,2.0,2.0,2.0,4.0,4.0,-0.527723514,True
153,4.0,2.0,2.0,6.0,4.0,-0.487353861,True
