index,parallelism_ffmpeg-0,parallelism_librosa,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_deepspeech,target,feasible
162,4.0,2.0,2.0,6.0,4.0,-0.5013195,True
82,4.0,6.0,2.0,4.0,4.0,-0.523083333,True
106,2.0,2.0,4.0,8.0,4.0,-0.511388458,True
37,4.0,6.0,2.0,4.0,2.0,-0.377765889,True
224,4.0,2.0,2.0,2.0,2.0,-1.063930556,False
142,2.0,4.0,4.0,8.0,4.0,-0.346334431,True
1,2.0,4.0,2.0,4.0,4.0,-0.351947292,True
31,2.0,6.0,4.0,6.0,4.0,-0.327348181,True
199,2.0,2.0,2.0,8.0,4.0,-0.634722222,False
92,4.0,4.0,4.0,8.0,2.0,-0.457888889,True
103,4.0,6.0,4.0,6.0,2.0,-0.589277778,True
24,4.0,4.0,2.0,4.0,4.0,-0.320928667,True
98,4.0,6.0,2.0,8.0,2.0,-0.451875,True
23,4.0,4.0,4.0,4.0,2.0,-0.457704472,True
102,4.0,6.0,4.0,8.0,2.0,-0.336847361,True
170,2.0,4.0,4.0,2.0,4.0,-1.436454722,True
89,4.0,4.0,4.0,4.0,2.0,-0.457704472,True
30,4.0,6.0,2.0,6.0,2.0,-0.453180556,True
65,2.0,6.0,4.0,8.0,4.0,-0.366388889,True
