index,parallelism_ffmpeg-0,parallelism_librosa,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_deepspeech,target,feasible
43,2.0,4.0,4.0,6.0,2.0,-0.483902778,True
1,2.0,4.0,2.0,4.0,4.0,-0.351947292,True
106,2.0,2.0,4.0,8.0,4.0,-0.544234181,True
229,4.0,4.0,2.0,2.0,4.0,-1.912622528,False
195,4.0,2.0,2.0,4.0,2.0,-0.640430556,False
65,2.0,6.0,4.0,8.0,4.0,-0.352691847,True
173,2.0,2.0,4.0,2.0,2.0,-0.982603028,True
140,2.0,6.0,4.0,6.0,2.0,-0.347250847,True
104,2.0,2.0,2.0,6.0,4.0,-0.548472222,True
118,2.0,6.0,4.0,6.0,2.0,-0.489888889,True
15,4.0,6.0,4.0,4.0,2.0,-0.782349653,True
8,2.0,4.0,2.0,8.0,2.0,-0.50775,True
59,2.0,4.0,4.0,8.0,4.0,-0.48625,True
68,4.0,6.0,4.0,8.0,2.0,-0.358186139,True
47,2.0,6.0,4.0,8.0,2.0,-0.339389972,True
72,2.0,4.0,2.0,2.0,4.0,-0.389361375,True
109,2.0,2.0,2.0,4.0,4.0,-0.527723514,True
242,2.0,6.0,4.0,2.0,2.0,-1.661791667,False
58,2.0,6.0,2.0,8.0,4.0,-0.368771528,True
