index,parallelism_ffmpeg-0,parallelism_librosa,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_deepspeech,target,feasible
189,2.0,6.0,4.0,2.0,2.0,-1.715388889,False
269,4.0,2.0,2.0,8.0,4.0,-0.718686361,False
80,4.0,4.0,4.0,4.0,4.0,-0.457125,True
36,4.0,4.0,2.0,4.0,2.0,-0.563819444,True
46,2.0,4.0,4.0,8.0,2.0,-0.496416667,True
14,4.0,4.0,4.0,4.0,4.0,-0.506810167,True
58,2.0,6.0,2.0,8.0,4.0,-0.358575153,True
260,2.0,2.0,4.0,4.0,2.0,-0.681861111,False
251,2.0,6.0,2.0,4.0,4.0,-0.529667778,False
88,4.0,4.0,2.0,4.0,2.0,-0.359824042,True
3,4.0,6.0,4.0,8.0,4.0,-0.177944444,True
264,4.0,2.0,2.0,8.0,4.0,-0.718686361,False
61,2.0,6.0,2.0,8.0,2.0,-0.3464265,True
78,4.0,6.0,2.0,6.0,4.0,-0.430708333,True
4,4.0,6.0,4.0,8.0,4.0,-0.177944444,True
65,2.0,6.0,4.0,8.0,4.0,-0.506138889,True
40,4.0,6.0,4.0,6.0,2.0,-0.725972222,True
98,4.0,6.0,2.0,8.0,2.0,-0.451875,True
9,4.0,6.0,4.0,4.0,4.0,-1.020666667,True
