index,parallelism_ffmpeg-0,parallelism_librosa,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_deepspeech,target,feasible
174,2.0,4.0,2.0,2.0,2.0,-1.829888889,False
119,4.0,2.0,4.0,6.0,4.0,-0.446536125,True
82,4.0,6.0,2.0,4.0,4.0,-0.514958333,True
133,2.0,4.0,4.0,6.0,2.0,-0.483902778,True
145,2.0,4.0,4.0,6.0,2.0,-0.503777778,True
24,4.0,4.0,2.0,4.0,4.0,-0.461416667,True
11,4.0,4.0,4.0,8.0,4.0,-0.337648278,True
161,2.0,2.0,2.0,2.0,2.0,-0.920423736,True
255,2.0,6.0,2.0,4.0,2.0,-0.468694444,False
177,2.0,2.0,4.0,8.0,4.0,-0.456300083,False
61,2.0,6.0,2.0,8.0,2.0,-0.48025,True
71,4.0,4.0,2.0,8.0,4.0,-0.4445,True
129,4.0,2.0,4.0,4.0,4.0,-0.556930556,True
80,4.0,4.0,4.0,4.0,4.0,-0.457125,True
25,4.0,4.0,4.0,8.0,2.0,-0.322285514,True
40,4.0,6.0,4.0,6.0,2.0,-0.354989264,True
68,4.0,6.0,4.0,8.0,2.0,-0.515444444,True
115,2.0,4.0,2.0,8.0,2.0,-0.469847222,True
103,4.0,6.0,4.0,6.0,2.0,-0.354989264,True
