index,parallelism_ffmpeg-0,parallelism_librosa,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_deepspeech,target,feasible
254,2.0,6.0,2.0,2.0,2.0,-1.550319444,False
71,4.0,4.0,2.0,8.0,4.0,-0.313295944,True
251,2.0,6.0,2.0,4.0,4.0,-0.529667778,False
216,4.0,2.0,4.0,6.0,2.0,-0.4634665,False
40,4.0,6.0,4.0,6.0,2.0,-0.354989264,True
73,2.0,4.0,2.0,6.0,2.0,-0.574871111,True
59,2.0,4.0,4.0,8.0,4.0,-0.346334431,True
224,4.0,2.0,2.0,2.0,2.0,-0.816021472,False
9,4.0,6.0,4.0,4.0,4.0,-0.68646125,True
234,4.0,2.0,4.0,2.0,4.0,-0.674233264,False
148,2.0,4.0,4.0,8.0,2.0,-0.496097222,True
21,4.0,4.0,2.0,8.0,4.0,-0.413611111,True
144,4.0,6.0,4.0,2.0,2.0,-2.643055556,True
51,4.0,6.0,2.0,8.0,4.0,-0.411388889,True
119,4.0,2.0,4.0,6.0,4.0,-0.446536125,True
80,4.0,4.0,4.0,4.0,4.0,-0.457125,True
6,4.0,6.0,4.0,6.0,4.0,-0.635833333,True
74,4.0,4.0,2.0,8.0,4.0,-0.313295944,True
200,2.0,2.0,4.0,4.0,4.0,-0.421543819,False
