index,parallelism_ffmpeg-0,parallelism_librosa,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_deepspeech,target,feasible
182,4.0,2.0,2.0,2.0,4.0,-1.0745,False
44,2.0,4.0,4.0,6.0,4.0,-0.342658708,True
252,2.0,2.0,2.0,4.0,2.0,-0.54725,False
33,4.0,6.0,2.0,8.0,2.0,-0.326393083,True
137,4.0,2.0,4.0,8.0,2.0,-0.575388889,True
190,2.0,6.0,2.0,4.0,2.0,-0.638375,False
275,2.0,4.0,2.0,6.0,2.0,-0.574871111,False
262,2.0,6.0,2.0,2.0,4.0,-0.572237847,False
88,4.0,4.0,2.0,4.0,2.0,-0.563819444,True
266,4.0,2.0,2.0,8.0,2.0,-0.836875,False
103,4.0,6.0,4.0,6.0,2.0,-0.725972222,True
87,2.0,2.0,4.0,4.0,4.0,-0.547041667,True
41,4.0,6.0,4.0,8.0,2.0,-0.358186139,True
249,2.0,4.0,4.0,2.0,4.0,-1.436454722,False
48,2.0,4.0,4.0,6.0,4.0,-0.502097222,True
275,2.0,4.0,2.0,6.0,2.0,-0.574871111,False
143,2.0,6.0,4.0,8.0,2.0,-0.730130069,True
33,4.0,6.0,2.0,8.0,2.0,-0.326393083,True
185,2.0,2.0,4.0,6.0,4.0,-0.702819444,False
