index,parallelism_ffmpeg-0,parallelism_librosa,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_deepspeech,target,feasible
39,2.0,6.0,4.0,4.0,4.0,-0.354505208,True
208,4.0,2.0,2.0,8.0,2.0,-0.745151792,False
175,2.0,4.0,4.0,2.0,2.0,-1.691752611,False
153,4.0,2.0,2.0,6.0,4.0,-0.487353861,True
133,2.0,4.0,4.0,6.0,2.0,-0.503777778,True
161,2.0,2.0,2.0,2.0,2.0,-0.920423736,True
91,4.0,6.0,2.0,8.0,2.0,-0.451875,True
54,2.0,4.0,4.0,4.0,4.0,-0.496375,True
2,2.0,4.0,2.0,4.0,4.0,-0.478763889,True
262,2.0,6.0,2.0,2.0,4.0,-0.753805556,False
145,2.0,4.0,4.0,6.0,2.0,-0.483902778,True
126,2.0,6.0,4.0,4.0,2.0,-0.556583333,True
246,2.0,6.0,4.0,2.0,4.0,-0.579277778,False
251,2.0,6.0,2.0,4.0,4.0,-0.624513889,False
141,2.0,6.0,2.0,8.0,2.0,-0.486847222,True
10,4.0,6.0,4.0,4.0,4.0,-1.020666667,True
141,2.0,6.0,2.0,8.0,2.0,-0.486847222,True
70,2.0,6.0,4.0,6.0,4.0,-0.327348181,True
122,2.0,6.0,2.0,6.0,4.0,-0.347265153,True
