index,parallelism_ffmpeg-0,parallelism_librosa,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_deepspeech,target,feasible
223,2.0,2.0,2.0,2.0,2.0,-1.058027778,False
79,4.0,6.0,2.0,6.0,4.0,-0.430708333,True
80,4.0,4.0,4.0,4.0,4.0,-0.506810167,True
105,4.0,4.0,2.0,8.0,2.0,-0.476013889,True
115,2.0,4.0,2.0,8.0,2.0,-0.50775,True
80,4.0,4.0,4.0,4.0,4.0,-0.691569444,True
153,4.0,2.0,2.0,6.0,4.0,-0.581611111,True
247,2.0,4.0,4.0,2.0,2.0,-1.706057556,False
174,2.0,4.0,2.0,2.0,2.0,-1.632116264,False
157,4.0,2.0,4.0,8.0,4.0,-0.842475736,True
256,4.0,2.0,2.0,4.0,2.0,-0.640430556,False
5,4.0,6.0,4.0,6.0,4.0,-0.289680556,True
30,4.0,6.0,2.0,6.0,2.0,-0.328707986,True
70,2.0,6.0,4.0,6.0,4.0,-0.376416667,True
70,2.0,6.0,4.0,6.0,4.0,-0.483944444,True
55,2.0,6.0,2.0,6.0,4.0,-0.474069444,True
33,4.0,6.0,2.0,8.0,2.0,-0.326393083,True
55,2.0,6.0,2.0,6.0,4.0,-0.363416389,True
99,2.0,2.0,4.0,4.0,4.0,-0.439447347,True
