index,parallelism_ffmpeg-0,parallelism_librosa,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_deepspeech,target,feasible
270,4.0,2.0,2.0,8.0,2.0,-0.562777778,False
245,4.0,6.0,4.0,2.0,4.0,-2.677372167,False
185,2.0,2.0,4.0,6.0,4.0,-0.531611111,False
190,2.0,6.0,2.0,4.0,2.0,-0.638375,False
202,2.0,2.0,2.0,4.0,2.0,-0.54725,False
44,2.0,4.0,4.0,6.0,4.0,-0.349742236,True
164,4.0,4.0,2.0,2.0,4.0,-1.723588111,True
143,2.0,6.0,4.0,8.0,2.0,-0.339389972,True
201,2.0,2.0,2.0,6.0,4.0,-0.445360833,False
246,2.0,6.0,4.0,2.0,4.0,-1.661284764,False
5,4.0,6.0,4.0,6.0,4.0,-0.263958333,True
85,4.0,6.0,4.0,4.0,4.0,-0.642764458,True
57,4.0,6.0,4.0,8.0,4.0,-0.174361111,True
120,2.0,6.0,2.0,8.0,4.0,-0.358575153,True
79,4.0,6.0,2.0,6.0,4.0,-0.430708333,True
162,4.0,2.0,2.0,6.0,4.0,-0.5013195,True
66,2.0,6.0,4.0,8.0,4.0,-0.506138889,True
13,4.0,6.0,2.0,8.0,4.0,-0.361694444,True
136,2.0,6.0,4.0,6.0,4.0,-0.376416667,True
