index,parallelism_ffmpeg-0,parallelism_librosa,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_deepspeech,target,feasible
70,2.0,6.0,4.0,6.0,4.0,-0.376416667,True
181,4.0,2.0,2.0,2.0,2.0,-0.816021472,False
8,2.0,4.0,2.0,8.0,2.0,-0.469847222,True
109,2.0,2.0,2.0,4.0,4.0,-0.527723514,True
50,2.0,4.0,2.0,6.0,4.0,-0.3125,True
119,4.0,2.0,4.0,6.0,4.0,-0.543944444,True
243,4.0,6.0,2.0,2.0,2.0,-1.863021056,False
48,2.0,4.0,4.0,6.0,4.0,-0.502097222,True
274,2.0,4.0,2.0,6.0,2.0,-0.750597222,False
106,2.0,2.0,4.0,8.0,4.0,-0.456300083,True
214,4.0,2.0,2.0,4.0,2.0,-0.640430556,False
44,2.0,4.0,4.0,6.0,4.0,-0.349742236,True
59,2.0,4.0,4.0,8.0,4.0,-0.346334431,True
247,2.0,4.0,4.0,2.0,2.0,-1.706057556,False
163,2.0,6.0,4.0,2.0,4.0,-1.744666667,True
264,4.0,2.0,2.0,8.0,4.0,-0.718686361,False
99,2.0,2.0,4.0,4.0,4.0,-0.421543819,True
66,2.0,6.0,4.0,8.0,4.0,-0.366388889,True
39,2.0,6.0,4.0,4.0,4.0,-0.354505208,True
