index,parallelism_ffmpeg-0,parallelism_librosa,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_deepspeech,target,feasible
104,2.0,2.0,2.0,6.0,4.0,-0.548472222,True
22,4.0,6.0,2.0,4.0,2.0,-0.377765889,True
7,4.0,4.0,4.0,8.0,4.0,-0.337648278,True
112,2.0,4.0,2.0,2.0,4.0,-0.389361375,True
169,2.0,2.0,4.0,2.0,4.0,-0.879925569,True
98,4.0,6.0,2.0,8.0,2.0,-0.451875,True
35,4.0,4.0,2.0,6.0,2.0,-0.453569444,True
60,2.0,6.0,4.0,6.0,2.0,-0.469930556,True
271,2.0,2.0,2.0,8.0,2.0,-0.844166667,False
37,4.0,6.0,2.0,4.0,2.0,-0.516527778,True
45,4.0,4.0,4.0,8.0,4.0,-0.337648278,True
97,4.0,4.0,4.0,8.0,2.0,-0.457888889,True
225,2.0,6.0,2.0,2.0,2.0,-1.897097222,False
199,2.0,2.0,2.0,8.0,4.0,-0.558790042,False
214,4.0,2.0,2.0,4.0,2.0,-0.529499708,False
103,4.0,6.0,4.0,6.0,2.0,-0.725972222,True
220,2.0,6.0,4.0,2.0,4.0,-1.744666667,False
79,4.0,6.0,2.0,6.0,4.0,-0.329223611,True
52,2.0,6.0,2.0,6.0,2.0,-0.341679014,True
