index,parallelism_ffmpeg-0,parallelism_librosa,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_deepspeech,target,feasible
125,4.0,2.0,4.0,6.0,2.0,-0.56625,True
108,2.0,4.0,2.0,4.0,2.0,-0.340263431,True
106,2.0,2.0,4.0,8.0,4.0,-0.456300083,True
171,4.0,6.0,2.0,2.0,4.0,-2.021638889,True
179,4.0,2.0,2.0,2.0,4.0,-1.021298139,False
64,4.0,6.0,4.0,6.0,4.0,-0.635833333,True
17,2.0,4.0,2.0,6.0,4.0,-0.353336194,True
68,4.0,6.0,4.0,8.0,2.0,-0.336847361,True
121,4.0,2.0,2.0,8.0,4.0,-0.818444444,True
68,4.0,6.0,4.0,8.0,2.0,-0.358186139,True
133,2.0,4.0,4.0,6.0,2.0,-0.483902778,True
72,2.0,4.0,2.0,2.0,4.0,-1.702361111,True
260,2.0,2.0,4.0,4.0,2.0,-0.681861111,False
89,4.0,4.0,4.0,4.0,2.0,-0.457704472,True
258,2.0,4.0,2.0,8.0,4.0,-0.680513889,False
67,2.0,4.0,4.0,4.0,4.0,-0.356944444,True
20,4.0,4.0,2.0,4.0,4.0,-0.379202111,True
39,2.0,6.0,4.0,4.0,4.0,-0.354505208,True
61,2.0,6.0,2.0,8.0,2.0,-0.3464265,True
