index,confidence,hypo_step,max_arm_length,num_threads,target,feasible
10367,34,2,14,17,-183617,False
7682,64,2,3,7,-71981,False
17257,44,3,10,27,-198342,False
9170,64,3,16,1,-69307,False
13436,64,3,3,7,-58737,False
8252,64,3,3,5,-52420,False
8293,14,3,1,5,-51000,False
8221,14,3,5,5,-54740,False
8576,64,3,1,4,-41524,False
9445,14,3,1,1,-36791,False
8864,64,3,1,3,-42909,False
8880,24,1,1,3,-103122,False
12572,64,3,3,10,-71380,False
8578,44,3,1,4,-40312,False
16411,64,1,1,32,-366688,False
8866,44,3,1,3,-42084,False
8581,14,3,1,4,-42604,False
6825,54,1,3,10,-135840,False
12631,14,3,16,9,-89415,False
3150,64,3,1,22,-147048,False
2609,14,1,16,23,-324116,False
8582,64,2,1,4,-55208,False
5696,64,3,1,14,-81424,False
8869,14,3,1,3,-41451,False
8587,14,2,1,4,-57016,False
11749,14,3,1,13,-91078,False
4837,14,3,1,17,-122774,False
8875,14,2,1,3,-57516,False
6002,64,3,16,12,-136356,False
13189,14,3,1,8,-53152,False
8029,14,2,16,5,-91360,False
8578,44,3,1,4,-40312,False
8815,14,3,4,3,-50745,False
13490,64,3,16,6,-82812,False
8578,44,3,1,4,-40312,False
5420,64,1,1,15,-192705,False
7147,14,2,1,9,-93411,False
8578,44,3,1,4,-40312,False
8578,44,3,1,4,-40312,False
8578,44,3,1,4,-40312,False
3456,64,3,16,20,-167620,False
7454,64,1,16,7,-160783,False
5,14,3,16,32,-225216,False
8578,44,3,1,4,-40312,False
7591,14,3,8,7,-63763,False
13489,14,1,1,7,-108017,False
8578,44,3,1,4,-40312,False
13783,14,3,16,5,-74340,False
8578,44,3,1,4,-40312,False
8578,44,3,1,4,-40312,False
8578,44,3,1,4,-40312,False
13771,14,2,1,6,-69342,False
8578,44,3,1,4,-40312,False
8578,44,3,1,4,-40312,False
8541,54,3,3,4,-48656,False
14100,54,3,1,32,-227712,False
8494,44,2,6,4,-74076,False
8578,44,3,1,4,-40312,False
6018,24,1,16,12,-201240,False
8578,44,3,1,4,-40312,False
8578,44,3,1,4,-40312,False
10633,14,3,15,16,-149232,False
8578,44,3,1,4,-40312,False
