index,confidence,hypo_step,max_arm_length,num_threads,target,feasible
4869,54,3,15,16,-147504,False
17481,44,1,8,26,-326638,False
13621,14,3,9,6,-68088,False
275,14,3,1,32,-211808,False
9445,14,3,1,1,-36791,False
9301,14,3,9,1,-54140,False
8293,14,3,1,5,-51000,False
8295,54,2,1,5,-64825,False
8288,64,3,1,5,-49665,False
8576,64,3,1,4,-41524,False
8864,64,3,1,3,-42909,False
12320,64,3,1,11,-83545,False
8869,14,3,1,3,-41451,False
12067,14,1,16,11,-193171,False
8875,14,2,1,3,-57516,False
8581,14,3,1,4,-42604,False
8300,64,1,1,5,-113820,False
8522,64,3,4,4,-50020,False
6578,64,3,16,10,-99020,False
13184,64,3,1,8,-62256,False
10609,14,1,1,17,-189737,False
9733,14,3,1,20,-151620,False
13195,14,2,1,8,-72280,False
7736,64,2,16,6,-104748,False
9452,64,1,1,1,-105985,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
11173,14,3,1,15,-116160,False
8869,14,3,1,3,-41451,False
8577,54,3,1,4,-41504,False
8576,64,3,1,4,-41524,False
12,64,1,16,32,-505088,False
2003,14,3,1,26,-152282,False
12038,64,2,1,12,-114144,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
15455,64,3,16,24,-192528,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
8577,54,3,1,4,-41504,False
8577,54,3,1,4,-41504,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
8868,24,3,1,3,-41529,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
12901,14,3,1,9,-70686,False
8869,14,3,1,3,-41451,False
12910,44,1,1,9,-131598,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
8576,64,3,1,4,-41524,False
868,24,3,16,29,-226577,False
