index,confidence,hypo_step,max_arm_length,num_threads,target,feasible
9091,14,2,5,2,-68012,False
16125,44,1,9,21,-305319,False
6830,64,3,2,10,-88090,False
9135,54,3,2,2,-41296,False
13761,54,3,1,6,-60036,False
9441,54,3,1,1,-36900,False
9442,44,3,1,1,-39210,False
8594,64,3,16,3,-76656,False
8828,64,3,3,3,-43845,False
9404,64,3,3,1,-41391,False
9152,64,3,1,2,-39306,False
8870,64,2,1,3,-56130,False
8879,34,1,1,3,-105936,False
9179,34,2,16,1,-83092,False
8864,64,3,1,3,-42909,False
7447,14,3,16,7,-84609,False
8864,64,3,1,3,-42909,False
12338,64,3,16,10,-98040,False
8452,44,3,8,4,-59396,False
5,14,3,16,32,-225216,False
8864,64,3,1,3,-42909,False
8846,64,3,2,3,-46884,False
8794,44,3,5,3,-52311,False
8379,54,3,12,4,-67088,False
8829,54,3,3,3,-44409,False
8810,64,3,4,3,-51090,False
8761,14,3,7,3,-55788,False
8419,14,3,10,4,-63908,False
8365,14,3,13,4,-69340,False
8815,14,3,4,3,-50745,False
13675,14,3,6,6,-61956,False
9272,64,1,11,1,-122075,False
13004,64,3,11,8,-74320,False
16403,64,3,1,32,-245056,False
8834,64,2,3,3,-65448,False
13214,64,1,16,7,-159551,False
9116,64,3,3,2,-42412,False
8797,14,3,5,3,-52092,False
13670,64,3,6,6,-60060,False
8414,64,3,10,4,-64640,False
13711,14,3,4,6,-56550,False
8850,24,3,2,3,-46212,False
8569,14,2,2,4,-64368,False
8581,14,3,1,4,-42604,False
7898,64,2,7,6,-81834,False
12049,14,1,1,12,-136800,False
13238,64,3,14,7,-81284,False
12770,64,3,8,9,-72774,False
13765,14,3,1,6,-51606,False
4837,14,3,1,17,-112166,False
5917,14,3,5,13,-83928,False
8869,14,3,1,3,-41451,False
4279,14,3,16,18,-137232,False
8868,24,3,1,3,-41529,False
5791,14,3,12,13,-108160,False
7831,14,2,11,6,-88704,False
12835,14,2,5,9,-109089,False
3167,14,1,1,22,-242902,False
8011,14,2,1,6,-62898,False
8869,14,3,1,3,-41451,False
5575,14,3,8,14,-96474,False
131,14,3,9,32,-373856,False
9758,64,1,16,19,-315476,False
