index,confidence,hypo_step,max_arm_length,num_threads,target,feasible
7296,24,1,9,8,-151704,False
16169,44,2,5,21,-163023,False
12092,64,2,14,11,-133914,False
6877,14,2,16,9,-115191,False
11,14,2,16,32,-296352,False
8601,54,2,16,3,-95832,False
7154,64,3,16,8,-95784,False
7442,64,3,16,7,-82362,False
13495,14,3,16,6,-80748,False
7730,64,3,16,6,-80538,False
13529,34,3,14,6,-77922,False
13760,64,3,1,6,-53340,False
8576,64,3,1,4,-41524,False
9152,64,3,1,2,-39306,False
8867,34,3,1,3,-40638,False
9453,54,1,1,1,-97345,False
8864,64,3,1,3,-42909,False
8580,24,3,1,4,-40196,False
8294,64,2,1,5,-59700,False
8869,14,3,1,3,-41451,False
10885,14,3,1,16,-94000,False
8578,44,3,1,4,-40312,False
8293,14,3,1,5,-51000,False
10895,34,1,1,16,-193216,False
4274,64,3,16,18,-179028,False
5989,14,3,1,13,-83005,False
8761,14,3,7,3,-55788,False
8587,14,2,1,4,-57016,False
2291,14,3,1,25,-164975,False
5431,14,3,16,14,-139328,False
12901,14,3,1,9,-94500,False
15451,64,1,1,25,-262650,False
8579,34,3,1,4,-40560,False
8581,14,3,1,4,-42604,False
8577,54,3,1,4,-41504,False
8584,44,2,1,4,-57632,False
8868,24,3,1,3,-41529,False
8866,44,3,1,3,-42084,False
8290,44,3,1,5,-45525,False
9445,14,3,1,1,-36791,False
5984,64,3,1,13,-90233,False
8580,24,3,1,4,-40196,False
9733,14,3,1,20,-131820,False
13190,64,2,1,8,-71144,False
8580,24,3,1,4,-40196,False
13769,34,2,1,6,-63912,False
13789,14,2,16,5,-98445,False
8522,64,3,4,4,-50020,False
8580,24,3,1,4,-40196,False
8579,34,3,1,4,-40560,False
9163,14,2,1,2,-57962,False
12043,14,2,1,12,-90144,False
8870,64,2,1,3,-56130,False
18131,64,3,1,23,-192832,False
2897,14,1,16,22,-329758,False
11174,64,2,1,15,-125190,False
16403,64,3,1,32,-245056,False
7148,64,1,1,9,-126414,False
12617,34,2,1,10,-80660,False
8580,24,3,1,4,-40196,False
8578,44,3,1,4,-40312,False
5410,44,3,1,15,-79980,False
8580,24,3,1,4,-40196,False
