index,confidence,hypo_step,max_arm_length,num_threads,target,feasible
6961,14,3,11,9,-81045,False
18332,54,1,1,22,-237952,False
12958,44,2,14,8,-104608,False
6457,14,3,7,11,-84392,False
9170,64,3,16,1,-69307,False
9174,24,3,16,1,-64608,False
13189,14,3,1,8,-53152,False
13477,14,3,1,7,-51387,False
18327,64,2,1,22,-161986,False
8005,14,3,1,6,-51606,False
8587,14,2,1,4,-57016,False
8593,14,1,1,4,-109356,False
275,14,3,1,32,-211808,False
9451,14,2,1,1,-53721,False
7712,64,3,1,7,-56357,False
12907,14,2,1,9,-77985,False
8221,14,3,5,5,-54740,False
8461,14,2,8,4,-76720,False
13477,14,3,1,7,-56399,False
8581,14,3,1,4,-42604,False
4261,14,3,1,19,-171855,False
8869,14,3,1,3,-41451,False
16231,64,1,16,32,-505088,False
12044,64,1,1,12,-119016,False
11174,64,2,1,15,-125190,False
8867,34,3,1,3,-40638,False
8864,64,3,1,3,-42909,False
8582,64,2,1,4,-55208,False
15071,64,3,16,26,-216034,False
8867,34,3,1,3,-40638,False
8867,34,3,1,3,-40638,False
9154,44,3,1,2,-37412,False
8867,34,3,1,3,-40638,False
8867,34,3,1,3,-40638,False
8011,14,2,1,6,-62898,False
9157,14,3,1,2,-38578,False
9440,64,3,1,1,-37218,False
9138,24,3,2,2,-41272,False
12608,64,3,1,10,-94730,False
8866,44,3,1,3,-42084,False
7718,64,2,1,7,-65240,False
8291,34,3,1,5,-49160,False
8584,44,2,1,4,-57632,False
8867,34,3,1,3,-40638,False
8300,64,1,1,5,-113820,False
8867,34,3,1,3,-40638,False
8288,64,3,1,5,-49665,False
8867,34,3,1,3,-40638,False
5425,14,1,1,15,-156585,False
8867,34,3,1,3,-40638,False
8867,34,3,1,3,-40638,False
4256,64,3,1,19,-136686,False
8867,34,3,1,3,-40638,False
8867,34,3,1,3,-40638,False
7427,34,3,1,8,-63304,False
8867,34,3,1,3,-40638,False
2003,14,3,1,26,-152282,False
8867,34,3,1,3,-40638,False
8867,34,3,1,3,-40638,False
12913,14,1,1,9,-142218,False
8867,34,3,1,3,-40638,False
8867,34,3,1,3,-40638,False
8867,34,3,1,3,-40638,False
