index,confidence,hypo_step,max_arm_length,num_threads,target,feasible
9885,54,1,9,19,-265525,False
10781,34,2,7,16,-145280,False
647,14,1,13,30,-378660,False
11771,34,2,16,12,-150168,False
13497,54,2,16,6,-105882,False
9442,44,3,1,1,-39210,False
6854,64,2,1,10,-81530,False
9446,64,2,1,1,-53466,False
7424,64,3,1,8,-62256,False
8000,64,3,1,6,-53340,False
8288,64,3,1,5,-49665,False
8577,54,3,1,4,-41504,False
8865,54,3,1,3,-43437,False
13477,14,3,1,7,-51387,False
8869,14,3,1,3,-41451,False
9175,14,3,16,1,-61419,False
8290,44,3,1,5,-45525,False
8868,24,3,1,3,-41529,False
6571,14,2,1,11,-108636,False
5701,14,3,1,14,-107002,False
8581,14,3,1,4,-42604,False
8578,44,3,1,4,-40312,False
13776,24,1,1,6,-107976,False
8524,44,3,4,4,-50968,False
8587,14,2,1,4,-57016,False
8582,64,2,1,4,-55208,False
12032,64,3,1,12,-73656,False
5708,64,1,1,14,-185640,False
8578,44,3,1,4,-40312,False
8584,44,2,1,4,-57632,False
10016,64,3,1,19,-177346,False
13478,64,2,1,7,-78183,False
8588,64,1,1,4,-109904,False
8293,14,3,1,5,-51000,False
12901,14,3,1,9,-70686,False
5138,64,3,16,15,-149595,False
7159,14,3,16,8,-92312,False
7723,14,2,1,7,-64190,False
2579,14,3,1,24,-123912,False
6848,64,3,1,10,-72060,False
17363,64,3,1,27,-173151,False
275,14,3,1,32,-211808,False
8578,44,3,1,4,-40312,False
2885,14,3,16,22,-169730,False
8578,44,3,1,4,-40312,False
7148,64,1,1,9,-126414,False
8578,44,3,1,4,-40312,False
7715,34,3,1,7,-55300,False
1445,14,3,16,27,-223722,False
8578,44,3,1,4,-40312,False
8578,44,3,1,4,-40312,False
6866,64,3,16,9,-102195,False
8875,14,2,1,3,-57516,False
8578,44,3,1,4,-40312,False
8578,44,3,1,4,-40312,False
8578,44,3,1,4,-40312,False
8578,44,3,1,4,-40312,False
8578,44,3,1,4,-40312,False
8578,44,3,1,4,-40312,False
12931,14,1,16,8,-175120,False
8578,44,3,1,4,-40312,False
8578,44,3,1,4,-40312,False
8578,44,3,1,4,-40312,False
