index,confidence,hypo_step,max_arm_length,num_threads,target,feasible
11262,24,3,12,14,-104258,False
16364,54,1,5,32,-389216,False
8350,44,2,14,4,-87344,False
5177,34,3,14,15,-135855,False
7807,14,3,12,6,-72108,False
7424,64,3,1,8,-54632,False
6583,14,3,16,10,-92150,False
12307,14,3,2,11,-74316,False
13484,64,1,1,7,-110908,False
8576,64,3,1,4,-41524,False
9350,64,3,6,1,-47259,False
8866,44,3,1,3,-42084,False
9440,64,3,1,1,-37218,False
8864,64,3,1,3,-42909,False
8868,24,3,1,3,-41529,False
8867,34,3,1,3,-40638,False
8290,44,3,1,5,-45525,False
8593,14,1,1,4,-109356,False
8849,34,3,2,3,-46146,False
8018,64,3,16,5,-76805,False
7892,64,3,7,6,-58014,False
8869,14,3,1,3,-41451,False
8293,14,3,1,5,-51000,False
9182,64,1,16,1,-134647,False
9157,14,3,1,2,-38578,False
8864,64,3,1,3,-42909,False
9446,64,2,1,1,-53466,False
10597,14,3,1,17,-112166,False
8288,64,3,1,5,-49665,False
6272,64,3,1,12,-73656,False
6992,64,3,9,9,-76689,False
8578,44,3,1,4,-40312,False
11473,14,1,1,14,-137326,False
7427,34,3,1,8,-56240,False
8579,34,3,1,4,-40560,False
8504,64,3,5,4,-50136,False
12609,54,3,1,10,-78560,False
8582,64,2,1,4,-55208,False
9163,14,2,1,2,-57962,False
11461,14,3,1,14,-107002,False
18515,64,3,1,21,-190407,False
7339,14,3,6,8,-70872,False
11774,64,1,16,12,-180852,False
5408,64,3,1,15,-118875,False
3985,14,1,1,20,-238700,False
12625,14,1,1,10,-141650,False
7714,44,3,1,7,-54572,False
8578,44,3,1,4,-40312,False
7448,64,2,16,7,-104174,False
8577,54,3,1,4,-41504,False
8578,44,3,1,4,-40312,False
2309,14,3,16,24,-184776,False
8578,44,3,1,4,-40312,False
8578,44,3,1,4,-40312,False
8585,34,2,1,4,-56084,False
6002,64,3,16,12,-136356,False
8311,14,3,16,4,-71232,False
9751,14,3,16,19,-164844,False
7717,14,3,1,7,-56399,False
8578,44,3,1,4,-40312,False
12044,64,1,1,12,-134784,False
13205,34,3,16,7,-84539,False
13501,14,2,16,6,-105390,False
