index,confidence,hypo_step,max_arm_length,num_threads,target,feasible
11367,54,3,6,14,-117516,False
14333,44,2,14,30,-248280,False
9138,24,3,2,2,-41272,False
7425,54,3,1,8,-66992,False
9440,64,3,1,1,-37218,False
8581,14,3,1,4,-42604,False
11270,64,1,12,14,-225372,False
8869,14,3,1,3,-41451,False
8594,64,3,16,3,-76656,False
9451,14,2,1,1,-53721,False
8868,24,3,1,3,-41529,False
8869,14,3,1,3,-41451,False
9452,64,1,1,1,-105985,False
9181,14,2,16,1,-78732,False
8866,44,3,1,3,-42084,False
8299,14,2,1,5,-60045,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
8869,14,3,1,3,-41451,False
9098,64,3,4,2,-45960,False
5701,14,3,1,14,-107002,False
2867,14,3,1,23,-132664,False
8870,64,2,1,3,-56130,False
275,14,3,1,32,-211808,False
8869,14,3,1,3,-41451,False
9152,64,3,1,2,-39306,False
8293,14,3,1,5,-51000,False
12613,14,3,1,10,-68810,False
7435,14,2,1,8,-71824,False
6871,14,3,16,9,-88695,False
13489,14,1,1,7,-117180,False
10021,14,3,1,19,-171855,False
2879,14,1,1,23,-252471,False
1728,64,3,16,26,-193050,False
13496,64,2,16,6,-104748,False
8576,64,3,1,4,-41524,False
12614,64,2,1,10,-81530,False
8577,54,3,1,4,-41504,False
8869,14,3,1,3,-41451,False
8577,54,3,1,4,-41504,False
8869,14,3,1,3,-41451,False
8576,64,3,1,4,-41524,False
8869,14,3,1,3,-41451,False
8576,64,3,1,4,-41524,False
8577,54,3,1,4,-41504,False
8869,14,3,1,3,-41451,False
8577,54,3,1,4,-41504,False
13766,64,2,1,6,-63594,False
8869,14,3,1,3,-41451,False
